id1,term1,id2,term2,logical,text,inherit,claude,deepseek,gemini,grok,llama,openai,pct_yes,majority
HP:0000391,Thickened helices,HP:0009905,Thin ear helix,t,f,f,no,no,yes,yes,yes,yes,0.67,t
HP:0001376,Limitation of joint mobility,HP:0010510,Hypermobility of toe joints,t,f,f,no,no,no,yes,no,yes,0.33,f
HP:0003375,Narrow greater sciatic notch,HP:0008798,Widened greater sciatic notch,t,f,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0009258,Small epiphysis of the distal phalanx of the 4th finger,HP:0010249,Enlarged epiphyses of the distal phalanges of the hand,t,f,f,no,no,no,no,yes,no,0.17,f
HP:0100216,Enlarged epiphysis of the middle phalanx of the 5th toe,HP:0100221,Small epiphysis of the middle phalanx of the 5th toe,t,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0002917,Hypomagnesemia,HP:0002918,Hypermagnesemia,t,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0000252,Microcephaly,HP:0040194,Increased head circumference,f,t,f,no,no,yes,yes,yes,yes,0.67,t
HP:0005165,Shortened PR interval,HP:0012248,Prolonged PR interval,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0000294,Low anterior hairline,HP:0009890,High anterior hairline,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0010152,Enlarged epiphysis of the 1st metatarsal,HP:0010157,Small epiphysis of the 1st metatarsal,t,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0009060,Scapular muscle atrophy,HP:0012895,Scapular muscle hypertrophy,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0003676,Progressive,HP:0003680,Nonprogressive,f,t,f,yes,no,yes,yes,yes,yes,0.83,t
HP:0009217,Enlarged epiphysis of the middle phalanx of the 4th finger,HP:0009222,Small epiphysis of the middle phalanx of the 4th finger,t,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0030262,Narrow penis,HP:0030265,Wide penis,t,f,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0012748,Focal T2 hyperintense brainstem lesion,HP:0012749,Focal T2 hypointense brainstem lesion,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0030688,Increased glucagon level,HP:0030689,Decreased glucagon level,t,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0000158,Macroglossia,HP:0000171,Microglossia,t,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0004821,Hypersegmentation of neutrophil nuclei,HP:0011447,Hyposegmentation of neutrophil nuclei,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0009126,Increased adipose tissue,HP:0040063,Decreased adipose tissue,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0031245,Productive cough,HP:0031246,Nonproductive cough,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0003202,Skeletal muscle atrophy,HP:0003712,Skeletal muscle hypertrophy,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0002155,Hypertriglyceridemia,HP:0012153,Hypotriglyceridemia,t,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0031397,Decreased proportion of naive T cells,HP:0031398,Increased proportion of naive T cells,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0032432,Increased HDL3c concentration,HP:0032433,Decreased HDL3c concentration,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0032274,Increased CSF N-acetylaspartic acid concentration,HP:6000674,Decreased CSF N-acetylaspartic acid concentration,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0010580,Enlarged epiphyses,HP:0100108,Small epiphysis of the distal phalanx of the 2nd toe,t,f,f,no,yes,no,yes,no,no,0.33,f
HP:0003240,Increased phosphoribosylpyrophosphate synthetase level,HP:0032460,Decreased phosphoribosylpyrophosphate synthetase level,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0034237,Open neural tube defect,HP:0034238,Closed neural tube defect,f,t,f,no,yes,yes,yes,yes,yes,0.83,t
HP:0410311,Hyposegmentation of neutrophil nuclei in CSF,HP:0410312,Hypersegmentation of neutrophil nuclei in CSF,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0002914,Hyperchloriduria,HP:0012601,Hypochloriduria,t,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0001900,Increased circulating hemoglobin concentration,HP:0020062,Decreased hemoglobin concentration,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0001315,Reduced tendon reflexes,HP:0001347,Hyperreflexia,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0030357,Small cell lung carcinoma,HP:0030360,Large cell lung carcinoma,f,t,f,no,no,yes,yes,yes,no,0.50,t
HP:0003292,Decreased serum leptin,HP:0031793,Increased serum leptin,t,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0010170,Small epiphyses of the toes,HP:0100080,Enlarged epiphyses of the 5th toe,t,f,f,no,no,yes,no,yes,no,0.33,f
HP:0009349,Enlarged epiphysis of the proximal phalanx of the 3rd finger,HP:0010236,Small epiphyses of the phalanges of the hand,t,f,f,no,no,no,yes,no,no,0.17,f
HP:0001238,Slender finger,HP:0001500,Broad finger,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0005019,Diaphyseal undertubulation,HP:0006470,Thin long bone diaphyses,t,f,f,no,no,yes,yes,no,yes,0.50,t
HP:0000953,Hyperpigmentation of the skin,HP:0001010,Hypopigmentation of the skin,t,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0010763,Low insertion of columella,HP:0012807,High insertion of columella,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0009527,Enlarged epiphysis of the proximal phalanx of the 2nd finger,HP:0009532,Small epiphysis of the proximal phalanx of the 2nd finger,t,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0030795,Reduced C-peptide level,HP:0030796,Increased C-peptide level,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0000316,Hypertelorism,HP:0000601,Hypotelorism,t,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0030783,Increased circulating interleukin 6 concentration,HP:0430142,Reduced circulating interleukin 6 concentration,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0030143,Hyperactive bowel sounds,HP:0030144,Hypoactive bowel sounds,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0100047,Enlarged epiphyses of the 2nd toe,HP:0100052,Small epiphyses of the 2nd toe,t,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0031794,Decreased circulating glycerol level,HP:0040302,Hyperglycerolemia,t,f,f,yes,no,yes,yes,yes,yes,0.83,t
HP:0009324,Enlarged epiphysis of the middle phalanx of the 3rd finger,HP:0009329,Small epiphysis of the middle phalanx of the 3rd finger,t,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0030607,Reduced OCT-measured macular thickness,HP:0030608,Increased OCT-measured macular thickness,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0000998,Hypertrichosis,HP:0008070,Sparse hair,f,t,f,yes,no,yes,yes,yes,yes,0.83,t
HP:0003429,CNS hypomyelination,HP:0012754,CNS hypermyelination,t,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0033201,Biceps hyporeflexia,HP:0033205,Biceps hyperreflexia,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0100293,Hypertrophied muscle fibers,HP:0100295,Muscle fiber atrophy,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0002375,Hypokinesia,HP:0002487,Hyperkinetic movements,f,t,f,no,yes,yes,yes,yes,yes,0.83,t
HP:0030050,Narcolepsy,HP:0100785,Insomnia,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0004005,Large radial epiphyses,HP:0004010,Small radial epiphyses,t,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0009532,Small epiphysis of the proximal phalanx of the 2nd finger,HP:0010271,Enlarged epiphyses of the proximal phalanges of the hand,t,f,f,no,no,no,yes,yes,no,0.33,f
HP:0009324,Enlarged epiphysis of the middle phalanx of the 3rd finger,HP:0010236,Small epiphyses of the phalanges of the hand,t,f,f,no,no,no,yes,no,no,0.17,f
HP:0000274,Small face,HP:0100729,Large face,t,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0010450,Esophageal stenosis,HP:6000589,Esophageal dilation,f,t,f,yes,no,yes,yes,yes,yes,0.83,t
HP:0001640,Cardiomegaly,HP:0001961,Hypoplastic heart,f,t,f,no,no,yes,yes,yes,yes,0.67,t
HP:0003260,Hydroxyprolinemia,HP:0500140,Decreased circulating hydroxyproline concentration,t,f,f,no,no,yes,yes,yes,yes,0.67,t
HP:0009931,Enlarged naris,HP:0009933,Narrow naris,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0012691,Focal T2 hypointense thalamic lesion,HP:0012692,Focal T2 hyperintense thalamic lesion,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0500265,"Increased proportion of CD8-positive, alpha-beta TEMRA T cells",HP:0500266,"Decreased proportion of CD8-positive, alpha-beta TEMRA T cells",f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0100069,Enlarged epiphyses of the 4th toe,HP:0100199,Small epiphysis of the proximal phalanx of the 4th toe,t,f,f,no,yes,no,no,yes,no,0.33,f
HP:0000431,Wide nasal bridge,HP:0000446,Narrow nasal bridge,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0040178,Increased level of platelet-activating factor,HP:0040179,Decreased level of platelet-activating factor,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0500156,Hyperasparaginemia,HP:0500157,Hypoasparaginemia,t,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0030781,Increased circulating free fatty acid level,HP:0040299,Decreased circulating free fatty acid level,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0009385,Enlarged epiphyses of the 5th finger,HP:0009390,Small epiphyses of the 5th finger,t,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0008839,Hypoplastic pelvis,HP:0010779,Large pelvis bone,f,t,f,no,no,yes,yes,yes,yes,0.67,t
HP:0010231,Enlarged epiphyses of the phalanges of the hand,HP:0010265,Small epiphyses of the middle phalanges of the hand,t,f,f,yes,no,yes,yes,yes,no,0.67,t
HP:0010809,Broad uvula,HP:0010811,Narrow uvula,t,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0034073,Reduced fetal long bone echogenicity,HP:0034074,Increased fetal long bone echogenicity,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0001830,Postaxial foot polydactyly,HP:0001849,Foot oligodactyly,t,f,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0000684,Delayed eruption of teeth,HP:0006288,Advanced eruption of teeth,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0009264,Enlarged epiphysis of the proximal phalanx of the 4th finger,HP:0009401,Small epiphyses of the 4th finger,t,f,f,yes,yes,yes,yes,yes,no,0.83,t
HP:0010790,Hypoplasia of the Leydig cells,HP:0010791,Hyperplasia of the Leydig cells,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0033014,Decreased salivary cortisol level,HP:0033015,Increased salivary cortisol level,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0025380,Increased circulating androstenedione concentration,HP:0033812,Decreased circulating androstenedione concentration,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0000691,Microdontia,HP:0001572,Macrodontia,t,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0003077,Hyperlipidemia,HP:0031243,Decreased VLDL cholesterol concentration,t,f,f,no,no,no,no,no,yes,0.17,f
HP:0410375,Increased proportion of naive CD4 T cells,HP:0410378,Decreased proportion of naive CD4 T cells,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:4000158,Typified by high penetrance,HP:4000160,Typified by low penetrance,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0031215,Decreased circulating dehydroepiandrosterone-sulfate concentration,HP:0034589,Increased circulating dehydroepiandrosterone-sulfate concentration,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0001880,Eosinophilia,HP:0031891,Decreased eosinophil count,t,f,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0010260,Enlarged epiphyses of the middle phalanges of the hand,HP:0010265,Small epiphyses of the middle phalanges of the hand,t,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0008348,Decreased circulating IgG2 concentration,HP:0032299,Increased circulating IgG2 level,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0000322,Short philtrum,HP:0000343,Long philtrum,t,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0001477,Compensatory chin elevation,HP:0031706,Compensatory chin depression,f,t,f,yes,no,yes,yes,yes,yes,0.83,t
HP:0011009,Acute,HP:0011010,Chronic,f,t,f,no,yes,yes,yes,yes,no,0.67,t
HP:0031219,Reduced radioactive iodine uptake,HP:0031220,Increased radioactive iodine uptake,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0033085,Reduced antral follicle count,HP:0033086,Increased antral follicle count,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0007350,Upper limb hyperreflexia,HP:0012391,Hyporeflexia of upper limbs,t,f,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0002904,Hyperbilirubinemia,HP:0033480,Hypobilirubinemia,t,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0500187,Increased CSF valine concentration,HP:0500188,Decreased CSF valine concentration,t,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0025196,Increased total iron binding capacity,HP:0033211,Decreased total iron binding capacity,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0001847,Long hallux,HP:0010109,Short hallux,t,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0020059,Increased red blood cell count,HP:0020060,Decreased red blood cell count,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0001476,Delayed closure of the anterior fontanelle,HP:0005458,Premature closure of fontanelles,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0000426,Prominent nasal bridge,HP:0005280,Depressed nasal bridge,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0000179,Thick lower lip vermilion,HP:0010282,Thin lower lip vermilion,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0010170,Small epiphyses of the toes,HP:0010580,Enlarged epiphyses,t,f,f,no,no,no,yes,yes,no,0.33,f
HP:0008948,Proximal upper limb amyotrophy,HP:0040266,Proximal upper limb muscle hypertrophy,f,t,f,yes,no,yes,yes,yes,yes,0.83,t
HP:0000637,Long palpebral fissure,HP:0012745,Short palpebral fissure,t,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0008972,Decreased activity of mitochondrial respiratory chain,HP:0040015,Increased activity of mitochondrial respiratory chain,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0033445,Reduced circulating acylcarnitine concentration,HP:0045045,Elevated circulating acylcarnitine concentration,t,f,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0007182,Peripheral hypomyelination,HP:0030173,Peripheral hypermyelination,t,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0006155,Long phalanx of finger,HP:0009803,Short phalanx of finger,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0000255,Acute sinusitis,HP:0011109,Chronic sinusitis,f,t,f,no,no,yes,yes,no,no,0.33,f
HP:0031428,Increased circulating osteocalcin level,HP:0031429,Decreased circulating osteocalcin level,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0000859,Increased circulating aldosterone concentration,HP:0004319,Decreased circulating aldosterone concentration,t,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0040260,Decreased size of nasopharyngeal adenoids,HP:0040261,Increased size of nasopharyngeal adenoids,t,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0100080,Enlarged epiphyses of the 5th toe,HP:0100085,Small epiphyses of the 5th toe,t,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0031385,Megakaryocyte nucleus hypolobulation,HP:0031388,Megakaryocyte nucleus hyperlobulation,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0009521,Small epiphysis of the middle phalanx of the 2nd finger,HP:0010231,Enlarged epiphyses of the phalanges of the hand,t,f,f,no,no,no,yes,yes,no,0.33,f
HP:0007535,Hypopigmented streaks,HP:0007572,Hyperpigmented streaks,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0034449,Increased phytanic acid:pristanic acid ratio,HP:0034450,Decreased phytanic acid:pristanic acid ratio,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0410388,"Decreased proportion of central memory CD4-positive, alpha-beta T cells",HP:0410393,"Increased proportion of central memory CD4-positive, alpha-beta T cells",f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0009264,Enlarged epiphysis of the proximal phalanx of the 4th finger,HP:0010236,Small epiphyses of the phalanges of the hand,t,f,f,no,no,no,yes,no,no,0.17,f
HP:0500077,Alternating hyperphoria,HP:0500079,Alternating hypophoria,f,t,f,yes,yes,yes,yes,yes,no,0.83,t
HP:0010580,Enlarged epiphyses,HP:0100052,Small epiphyses of the 2nd toe,t,f,f,no,yes,no,no,no,no,0.17,f
HP:0010236,Small epiphyses of the phalanges of the hand,HP:0010271,Enlarged epiphyses of the proximal phalanges of the hand,t,f,f,yes,no,yes,yes,yes,no,0.67,t
HP:0010911,Hyperleucinemia,HP:0500143,Hypoleucinemia,t,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0005819,Short middle phalanx of finger,HP:0012298,Long middle phalanx of finger,t,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0020112,Increased proportion of CD4+CD25+ regulatory T cells,HP:0020113,Decreased proportion of CD4+CD25+ regulatory T cells,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0000400,Macrotia,HP:0008551,Microtia,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0000966,Hypohidrosis,HP:0000975,Hyperhidrosis,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0025759,Mobile lump,HP:0025760,Immobile lump,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0031836,Increased circulating superoxide dismutase concentration,HP:0031837,Decreased circulating superoxide dismutase concentration,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0003149,Hyperuricosuria,HP:0011935,Decreased urinary urate,t,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0410376,Increased proportion of naive CD8 T cells,HP:0410377,Decreased proportion of naive CD8 T cells,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0005274,Prominent nasal tip,HP:0005278,Hypoplastic nasal tip,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0009159,Small epiphysis of the proximal phalanx of the 5th finger,HP:0010271,Enlarged epiphyses of the proximal phalanges of the hand,t,f,f,no,no,no,yes,yes,no,0.33,f
HP:0033733,Low-grade vesicoureteral reflux,HP:0033734,High-grade vesicoureteral reflux,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0003113,Hypochloremia,HP:0011423,Hyperchloremia,t,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0032125,Increased proportion of unswitched memory B cells,HP:0032126,Decreased proportion of unswitched memory B cells,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0010231,Enlarged epiphyses of the phalanges of the hand,HP:0010236,Small epiphyses of the phalanges of the hand,t,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0031807,Increased basophil count,HP:0031808,Decreased basophil count,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0004586,Biconcave vertebral bodies,HP:0004625,Biconvex vertebral bodies,t,f,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0033909,Arcuate vein medial hypertrophy,HP:0033910,Arcuate vein medial atrophy,f,t,f,yes,no,yes,yes,yes,yes,0.83,t
HP:0006329,Alveolar process hypoplasia,HP:0009085,Alveolar ridge overgrowth,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0030018,Decreased female libido,HP:0030019,Increased female libido,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0009496,Small epiphyses of the 2nd finger,HP:0010260,Enlarged epiphyses of the middle phalanges of the hand,t,f,f,no,no,no,yes,yes,no,0.33,f
HP:0010669,Hypoplasia of the zygomatic bone,HP:0012370,Prominence of the zygomatic bone,f,t,f,no,yes,yes,yes,yes,yes,0.83,t
HP:0008687,Hypoplasia of the prostate,HP:0008711,Benign prostatic hyperplasia,t,f,f,no,no,yes,yes,yes,yes,0.67,t
HP:0002677,Small foramen magnum,HP:0002700,Large foramen magnum,t,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0001688,Sinus bradycardia,HP:0011703,Sinus tachycardia,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0500181,Hypertaurinemia,HP:0500182,Hypotaurinemia,t,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0001841,Preaxial foot polydactyly,HP:0001849,Foot oligodactyly,t,f,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0010913,Hyperisoleucinemia,HP:0500144,Hypoisoleucinemia,t,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0001657,Prolonged QT interval,HP:0012232,Shortened QT interval,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0011972,Hypoglycorrhachia,HP:0031885,Hyperglycorrhachia,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0002516,Increased intracranial pressure,HP:0012641,Decreased intracranial pressure,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0004349,Reduced bone mineral density,HP:0011001,Increased bone mineral density,t,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0012311,Monocytosis,HP:0012312,Monocytopenia,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0002365,Hypoplasia of the brainstem,HP:0012755,Enlarged brainstem,f,t,f,yes,no,yes,yes,yes,yes,0.83,t
HP:0034291,Elevated circulating creatine concentration,HP:0034292,Reduced circulating creatine concentration,t,f,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0046503,Increased libido,HP:0046504,Decreased libido,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0010442,Polydactyly,HP:0012165,Oligodactyly,t,f,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0000468,Increased adipose tissue around the neck,HP:0005995,Decreased adipose tissue around neck,t,f,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0001837,Broad toe,HP:0011308,Slender toe,f,t,f,yes,no,yes,yes,yes,yes,0.83,t
HP:0004826,Folate-unresponsive megaloblastic anemia,HP:0004851,Folate-responsive megaloblastic anemia,f,t,f,no,no,yes,yes,yes,yes,0.67,t
HP:0009258,Small epiphysis of the distal phalanx of the 4th finger,HP:0010231,Enlarged epiphyses of the phalanges of the hand,t,f,f,no,no,no,yes,yes,no,0.33,f
HP:0009354,Small epiphysis of the proximal phalanx of the 3rd finger,HP:0009413,Enlarged epiphyses of the 3rd finger,t,f,f,yes,no,yes,yes,yes,yes,0.83,t
HP:0033908,Renal arteriole medial atrophy,HP:0033918,Renal arteriole medial hypertrophy,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0100160,Enlarged epiphysis of the proximal phalanx of the 3rd toe,HP:0100165,Small epiphysis of the proximal phalanx of the 3rd toe,t,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0030348,Increased circulating androgen concentration,HP:0040171,Decreased serum testosterone concentration,t,f,f,yes,no,no,yes,yes,yes,0.67,t
HP:0030631,Hyperautofluorescent macular lesion,HP:0030632,Hypoautofluorescent macular lesion,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0005404,Increased B cell count,HP:0010976,B lymphocytopenia,f,t,f,yes,no,yes,yes,yes,yes,0.83,t
HP:0025075,Increased QRS voltage,HP:0025077,Decreased QRS voltage,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0030377,Increased proportion of immature B cells,HP:0030378,Decreased proportion of immature B cells,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0009343,Small epiphysis of the distal phalanx of the 3rd finger,HP:0010231,Enlarged epiphyses of the phalanges of the hand,t,f,f,no,no,no,yes,yes,no,0.33,f
HP:0001773,Short foot,HP:0001833,Long foot,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0009349,Enlarged epiphysis of the proximal phalanx of the 3rd finger,HP:0010276,Small epiphyses of the proximal phalanges of the hand,t,f,f,no,no,no,yes,yes,no,0.33,f
HP:0033506,Increased esterified to free carnitine ratio,HP:0033507,Decreased esterified to free carnitine ratio,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0004313,Decreased circulating antibody concentration,HP:0010702,Increased circulating antibody concentration,t,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0033532,Decreased cardiac output,HP:0033533,Increased cardiac output,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0002938,Lumbar hyperlordosis,HP:0034770,Lumbar hypolordosis,f,t,f,yes,yes,yes,yes,yes,yes,1.00,t
HP:0009804,Tooth agenesis,HP:0011069,Supernumerary tooth,t,t,f,no,yes,yes,yes,no,yes,0.67,t
HP:0001821,Broad nail,HP:0011313,Narrow nail,t,t,f,yes,yes,yes,yes,yes,yes,1.00,t
