hpo_id1,hpo_term1,hpo_id2,hpo_term2,similarity_score,inverse_verified_by_llm
HP:0000790,Hematuria,HP:0001943,Hypoglycemia,0.8447,f
HP:0000790,Hematuria,HP:0001988,Recurrent hypoglycemia,0.8381,f
HP:0000790,Hematuria,HP:0002148,Hypophosphatemia,0.8075,f
HP:0000790,Hematuria,HP:0002720,Decreased circulating IgA concentration,0.7906,f
HP:0000790,Hematuria,HP:0002850,Decreased circulating total IgM,0.8121,f
HP:0000790,Hematuria,HP:0002900,Hypokalemia,0.8273,f
HP:0000790,Hematuria,HP:0002901,Hypocalcemia,0.8259,f
HP:0000790,Hematuria,HP:0002902,Hyponatremia,0.8283,f
HP:0000790,Hematuria,HP:0002917,Hypomagnesemia,0.8014,f
HP:0000790,Hematuria,HP:0002920,Decreased circulating ACTH concentration,0.8015,f
HP:0000790,Hematuria,HP:0003073,Hypoalbuminemia,0.8309,f
HP:0000790,Hematuria,HP:0003075,Hypoproteinemia,0.8401,f
HP:0000790,Hematuria,HP:0003113,Hypochloremia,0.8124,f
HP:0000790,Hematuria,HP:0003127,Hypocalciuria,0.8322,f
HP:0000790,Hematuria,HP:0003146,Hypocholesterolemia,0.7858,f
HP:0000790,Hematuria,HP:0003233,Decreased HDL cholesterol concentration,0.8212,f
HP:0000790,Hematuria,HP:0003234,Decreased circulating carnitine concentration,0.7873,f
HP:0000790,Hematuria,HP:0003292,Decreased serum leptin,0.8286,f
HP:0000790,Hematuria,HP:0003351,Decreased circulating renin concentration,0.7954,f
HP:0000790,Hematuria,HP:0003359,Decreased urinary sulfate,0.8369,f
HP:0000790,Hematuria,HP:0003537,Hypouricemia,0.8361,f
HP:0000790,Hematuria,HP:0003563,Decreased LDL cholesterol concentration,0.7996,f
HP:0000790,Hematuria,HP:0003572,Low plasma citrulline,0.8280,f
HP:0000790,Hematuria,HP:0003658,Hypomethioninemia,0.8257,f
HP:0000790,Hematuria,HP:0004313,Decreased circulating antibody concentration,0.8016,f
HP:0000790,Hematuria,HP:0004315,Decreased circulating IgG concentration,0.7992,f
HP:0000790,Hematuria,HP:0004319,Decreased circulating aldosterone concentration,0.7852,f
HP:0000790,Hematuria,HP:0005479,Decreased circulating IgE concentration,0.7842,f
HP:0000790,Hematuria,HP:0005510,Transient erythroblastopenia,0.8374,f
HP:0000790,Hematuria,HP:0005961,Hypoargininemia,0.8560,f
HP:0000790,Hematuria,HP:0008163,Decreased circulating cortisol level,0.8109,f
HP:0000790,Hematuria,HP:0010837,Decreased circulating ceruloplasmin concentration,0.7764,f
HP:0000790,Hematuria,HP:0010981,Hypolipoproteinemia,0.8250,f
HP:0000790,Hematuria,HP:0011935,Decreased urinary urate,0.8700,f
HP:0000790,Hematuria,HP:0011967,Decreased circulating copper concentration,0.7829,f
HP:0000790,Hematuria,HP:0012052,Low serum calcitriol,0.7790,f
HP:0000790,Hematuria,HP:0012053,Decreased circulating calcifediol concentration,0.7629,f
HP:0000790,Hematuria,HP:0012101,Decreased serum creatinine,0.8045,f
HP:0000790,Hematuria,HP:0012153,Hypotriglyceridemia,0.8129,f
HP:0000790,Hematuria,HP:0012277,Hypoglycinemia,0.8447,f
HP:0000790,Hematuria,HP:0012279,Hyposerinemia,0.8695,f
HP:0000790,Hematuria,HP:0012364,Decreased urinary potassium,0.8520,f
HP:0000790,Hematuria,HP:0012365,Hypophosphaturia,0.8024,f
HP:0000790,Hematuria,HP:0012403,Decreased urine alpha-ketoglutarate concentration,0.7732,f
HP:0000790,Hematuria,HP:0012405,Hypocitraturia,0.8390,f
HP:0000790,Hematuria,HP:0012417,Hypocapnia,0.7892,f
HP:0000790,Hematuria,HP:0012418,Hypoxemia,0.8707,f
HP:0000790,Hematuria,HP:0012601,Hypochloriduria,0.8531,f
HP:0000790,Hematuria,HP:0012604,Hyponatriuria,0.8610,f
HP:0000790,Hematuria,HP:0012609,Hypomagnesiuria,0.8285,f
HP:0000790,Hematuria,HP:0020222,Hypohomocysteinemia,0.7930,f
HP:0000790,Hematuria,HP:0030339,Decreased circulating gonadotropin concentration,0.7850,f
HP:0000790,Hematuria,HP:0030344,Decreased circulating luteinizing hormone level,0.8029,f
HP:0000790,Hematuria,HP:0030349,Decreased circulating androgen concentration,0.7955,f
HP:0000790,Hematuria,HP:0030689,Decreased glucagon level,0.8103,f
HP:0000790,Hematuria,HP:0030985,Decreased serum bile acid concentration,0.8164,f
HP:0000790,Hematuria,HP:0031242,Decreased circulating chylomicron concentration,0.7779,f
HP:0000790,Hematuria,HP:0031243,Decreased VLDL cholesterol concentration,0.8037,f
HP:0000790,Hematuria,HP:0031794,Decreased circulating glycerol level,0.7816,f
HP:0000790,Hematuria,HP:0031891,Decreased eosinophil count,0.8199,f
HP:0000790,Hematuria,HP:0031969,Reduced blood urea nitrogen,0.8342,f
HP:0000790,Hematuria,HP:0032098,Hypomanganesemia,0.8401,f
HP:0000790,Hematuria,HP:0032210,Decreased circulating free T3,0.8082,f
HP:0000790,Hematuria,HP:0032363,Decreased circulating corticosterone level,0.7952,f
HP:0000790,Hematuria,HP:0033445,Reduced circulating acylcarnitine concentration,0.7606,f
HP:0000790,Hematuria,HP:0033480,Hypobilirubinemia,0.8024,f
HP:0000790,Hematuria,HP:0034203,Decreased iduronate sulfatase level,0.7984,f
HP:0000790,Hematuria,HP:0034292,Reduced circulating creatine concentration,0.7969,f
HP:0000790,Hematuria,HP:0034441,Decreased circulating aspartic acid concentration,0.7871,f
HP:0000790,Hematuria,HP:0034869,Reduced erythrocyte free porphyrin concentration,0.7901,f
HP:0000790,Hematuria,HP:0034870,Reduced circulating urocanic acid concentration,0.7850,f
HP:0000790,Hematuria,HP:0034935,Decreased circulating 7-dehydrocholesterol concentration,0.7818,f
HP:0000790,Hematuria,HP:0034938,Decreased circulating sialic acid concentration,0.7822,f
HP:0000790,Hematuria,HP:0040171,Decreased serum testosterone concentration,0.8190,f
HP:0000790,Hematuria,HP:0040216,Hypoinsulinemia,0.8370,f
HP:0000790,Hematuria,HP:0040426,Decreased urinary hypoxanthine level,0.8510,f
HP:0000790,Hematuria,HP:0045011,Decreased urine bicarbonate concentration,0.8016,f
HP:0000790,Hematuria,HP:0045012,Decreased urinary catecholamine concentration,0.8307,f
HP:0000790,Hematuria,HP:0045014,Hypolipidemia,0.8411,f
HP:0000790,Hematuria,HP:0045035,Decreased urinary copper concentration,0.8306,f
HP:0000790,Hematuria,HP:0100493,Hypoammonemia,0.8582,f
HP:0000790,Hematuria,HP:0100507,Reduced blood folate concentration,0.8131,f
HP:0000790,Hematuria,HP:0410055,Decreased level of erythritol in urine,0.8209,f
HP:0000790,Hematuria,HP:0410060,Decreased level of D-mannose in urine,0.8000,f
HP:0000790,Hematuria,HP:0410179,Decreased glucose-6-phosphate dehydrogenase level in blood,0.8050,f
HP:0000790,Hematuria,HP:0410245,Decreased circulating IgD concentration,0.8064,f
HP:0000790,Hematuria,HP:0410289,Hypoamylasemia,0.8295,f
HP:0000790,Hematuria,HP:0410314,Decreased urinary 1-methylhistidine,0.8413,f
HP:0000790,Hematuria,HP:0410318,Decreased urinary 3-methylhistidine,0.8425,f
HP:0000790,Hematuria,HP:0410343,Decreased circulating heparan sulfate level,0.7861,f
HP:0000790,Hematuria,HP:0430073,Decreased circulating beta-carotene concentration,0.7884,f
HP:0000790,Hematuria,HP:0500132,Hypovalinemia,0.8576,f
HP:0000790,Hematuria,HP:0500133,Hypotyrosinemia,0.8318,f
HP:0000790,Hematuria,HP:0500135,Hypotryptophanemia,0.8458,f
HP:0000790,Hematuria,HP:0500136,Hypothreoninemia,0.8671,f
HP:0000790,Hematuria,HP:0500139,Hypoprolinemia,0.8428,f
HP:0000790,Hematuria,HP:0500140,Decreased circulating hydroxyproline concentration,0.7661,f
HP:0000790,Hematuria,HP:0500141,Hypophenylalaninemia,0.8093,f
HP:0000790,Hematuria,HP:0500142,Hypolysinemia,0.8299,f
HP:0000790,Hematuria,HP:0500143,Hypoleucinemia,0.8621,f
HP:0000790,Hematuria,HP:0500144,Hypoisoleucinemia,0.8260,f
HP:0000790,Hematuria,HP:0500145,Hypohistidinemia,0.8215,f
HP:0000790,Hematuria,HP:0500147,Hypoglutaminemia,0.8416,f
HP:0000790,Hematuria,HP:0500150,Hypoglutamatemia,0.8246,f
HP:0000790,Hematuria,HP:0500152,Hypocystinemia,0.8636,f
HP:0000790,Hematuria,HP:0500154,Hypoalaninemia,0.8433,f
HP:0000790,Hematuria,HP:0500157,Hypoasparaginemia,0.8348,f
HP:0000790,Hematuria,HP:0500162,Decreased circulating carnosine concentration,0.7812,f
HP:0000790,Hematuria,HP:0500163,Hypoornithinemia,0.8468,f
HP:0000790,Hematuria,HP:0500182,Hypotaurinemia,0.8803,f
HP:0000799,Renal steatosis,HP:0010685,Low alkaline phosphatase of renal origin,0.8718,f
HP:0000821,Hypothyroidism,HP:0000836,Hyperthyroidism,0.9712,t
HP:0000837,Increased circulating gonadotropin level,HP:0001882,Leukopenia,0.7803,f
HP:0000837,Increased circulating gonadotropin level,HP:0001888,Lymphopenia,0.7774,f
HP:0000837,Increased circulating gonadotropin level,HP:0001913,Granulocytopenia,0.8072,f
HP:0000837,Increased circulating gonadotropin level,HP:0001943,Hypoglycemia,0.8184,f
HP:0000837,Increased circulating gonadotropin level,HP:0001988,Recurrent hypoglycemia,0.8322,f
HP:0000837,Increased circulating gonadotropin level,HP:0002148,Hypophosphatemia,0.8017,f
HP:0000837,Increased circulating gonadotropin level,HP:0002720,Decreased circulating IgA concentration,0.8210,f
HP:0000837,Increased circulating gonadotropin level,HP:0002850,Decreased circulating total IgM,0.7980,f
HP:0000837,Increased circulating gonadotropin level,HP:0002900,Hypokalemia,0.7614,f
HP:0000837,Increased circulating gonadotropin level,HP:0002901,Hypocalcemia,0.7974,f
HP:0000837,Increased circulating gonadotropin level,HP:0002902,Hyponatremia,0.7921,f
HP:0000837,Increased circulating gonadotropin level,HP:0002917,Hypomagnesemia,0.8098,f
HP:0000837,Increased circulating gonadotropin level,HP:0002920,Decreased circulating ACTH concentration,0.8372,f
HP:0000837,Increased circulating gonadotropin level,HP:0003073,Hypoalbuminemia,0.8417,f
HP:0000837,Increased circulating gonadotropin level,HP:0003075,Hypoproteinemia,0.8039,f
HP:0000837,Increased circulating gonadotropin level,HP:0003113,Hypochloremia,0.7885,f
HP:0000837,Increased circulating gonadotropin level,HP:0003146,Hypocholesterolemia,0.8131,f
HP:0000837,Increased circulating gonadotropin level,HP:0003233,Decreased HDL cholesterol concentration,0.8670,f
HP:0000837,Increased circulating gonadotropin level,HP:0003234,Decreased circulating carnitine concentration,0.8818,f
HP:0000837,Increased circulating gonadotropin level,HP:0003292,Decreased serum leptin,0.8416,f
HP:0000837,Increased circulating gonadotropin level,HP:0003351,Decreased circulating renin concentration,0.8687,f
HP:0000837,Increased circulating gonadotropin level,HP:0003537,Hypouricemia,0.7911,f
HP:0000837,Increased circulating gonadotropin level,HP:0003563,Decreased LDL cholesterol concentration,0.8518,f
HP:0000837,Increased circulating gonadotropin level,HP:0003572,Low plasma citrulline,0.8469,f
HP:0000837,Increased circulating gonadotropin level,HP:0003658,Hypomethioninemia,0.8356,f
HP:0000837,Increased circulating gonadotropin level,HP:0004313,Decreased circulating antibody concentration,0.8738,f
HP:0000837,Increased circulating gonadotropin level,HP:0004315,Decreased circulating IgG concentration,0.8395,f
HP:0000837,Increased circulating gonadotropin level,HP:0004319,Decreased circulating aldosterone concentration,0.9134,f
HP:0000837,Increased circulating gonadotropin level,HP:0005479,Decreased circulating IgE concentration,0.8197,f
HP:0000837,Increased circulating gonadotropin level,HP:0005510,Transient erythroblastopenia,0.8365,f
HP:0000837,Increased circulating gonadotropin level,HP:0005961,Hypoargininemia,0.8413,f
HP:0000837,Increased circulating gonadotropin level,HP:0008163,Decreased circulating cortisol level,0.9080,f
HP:0000837,Increased circulating gonadotropin level,HP:0010837,Decreased circulating ceruloplasmin concentration,0.8821,f
HP:0000837,Increased circulating gonadotropin level,HP:0010981,Hypolipoproteinemia,0.8152,f
HP:0000837,Increased circulating gonadotropin level,HP:0011967,Decreased circulating copper concentration,0.8361,f
HP:0000837,Increased circulating gonadotropin level,HP:0012052,Low serum calcitriol,0.8165,f
HP:0000837,Increased circulating gonadotropin level,HP:0012053,Decreased circulating calcifediol concentration,0.8357,f
HP:0000837,Increased circulating gonadotropin level,HP:0012101,Decreased serum creatinine,0.8123,f
HP:0000837,Increased circulating gonadotropin level,HP:0012153,Hypotriglyceridemia,0.8270,f
HP:0000837,Increased circulating gonadotropin level,HP:0012277,Hypoglycinemia,0.8149,f
HP:0000837,Increased circulating gonadotropin level,HP:0012279,Hyposerinemia,0.8192,f
HP:0000837,Increased circulating gonadotropin level,HP:0012417,Hypocapnia,0.7615,f
HP:0000837,Increased circulating gonadotropin level,HP:0012418,Hypoxemia,0.7816,f
HP:0000837,Increased circulating gonadotropin level,HP:0020222,Hypohomocysteinemia,0.8088,f
HP:0000837,Increased circulating gonadotropin level,HP:0030339,Decreased circulating gonadotropin concentration,0.9919,t
HP:0000837,Increased circulating gonadotropin level,HP:0030344,Decreased circulating luteinizing hormone level,0.9208,f
HP:0000837,Increased circulating gonadotropin level,HP:0030349,Decreased circulating androgen concentration,0.9110,f
HP:0000837,Increased circulating gonadotropin level,HP:0030689,Decreased glucagon level,0.8737,f
HP:0000837,Increased circulating gonadotropin level,HP:0030985,Decreased serum bile acid concentration,0.8673,f
HP:0000837,Increased circulating gonadotropin level,HP:0031242,Decreased circulating chylomicron concentration,0.8648,f
HP:0000837,Increased circulating gonadotropin level,HP:0031243,Decreased VLDL cholesterol concentration,0.8470,f
HP:0000837,Increased circulating gonadotropin level,HP:0031794,Decreased circulating glycerol level,0.8736,f
HP:0000837,Increased circulating gonadotropin level,HP:0031891,Decreased eosinophil count,0.8479,f
HP:0000837,Increased circulating gonadotropin level,HP:0031969,Reduced blood urea nitrogen,0.8130,f
HP:0000837,Increased circulating gonadotropin level,HP:0032098,Hypomanganesemia,0.8258,f
HP:0000837,Increased circulating gonadotropin level,HP:0032210,Decreased circulating free T3,0.8250,f
HP:0000837,Increased circulating gonadotropin level,HP:0032363,Decreased circulating corticosterone level,0.9075,f
HP:0000837,Increased circulating gonadotropin level,HP:0033445,Reduced circulating acylcarnitine concentration,0.8654,f
HP:0000837,Increased circulating gonadotropin level,HP:0033480,Hypobilirubinemia,0.8291,f
HP:0000837,Increased circulating gonadotropin level,HP:0034203,Decreased iduronate sulfatase level,0.8369,f
HP:0000837,Increased circulating gonadotropin level,HP:0034292,Reduced circulating creatine concentration,0.8390,f
HP:0000837,Increased circulating gonadotropin level,HP:0034441,Decreased circulating aspartic acid concentration,0.8812,f
HP:0000837,Increased circulating gonadotropin level,HP:0034869,Reduced erythrocyte free porphyrin concentration,0.8655,f
HP:0000837,Increased circulating gonadotropin level,HP:0034870,Reduced circulating urocanic acid concentration,0.8665,f
HP:0000837,Increased circulating gonadotropin level,HP:0034935,Decreased circulating 7-dehydrocholesterol concentration,0.8614,f
HP:0000837,Increased circulating gonadotropin level,HP:0034938,Decreased circulating sialic acid concentration,0.8636,f
HP:0000837,Increased circulating gonadotropin level,HP:0040171,Decreased serum testosterone concentration,0.9096,f
HP:0000837,Increased circulating gonadotropin level,HP:0040216,Hypoinsulinemia,0.8212,f
HP:0000837,Increased circulating gonadotropin level,HP:0045014,Hypolipidemia,0.7936,f
HP:0000837,Increased circulating gonadotropin level,HP:0100493,Hypoammonemia,0.8175,f
HP:0000837,Increased circulating gonadotropin level,HP:0100507,Reduced blood folate concentration,0.8392,f
HP:0000837,Increased circulating gonadotropin level,HP:0410179,Decreased glucose-6-phosphate dehydrogenase level in blood,0.8621,f
HP:0000837,Increased circulating gonadotropin level,HP:0410245,Decreased circulating IgD concentration,0.8479,f
HP:0000837,Increased circulating gonadotropin level,HP:0410289,Hypoamylasemia,0.8267,f
HP:0000837,Increased circulating gonadotropin level,HP:0410343,Decreased circulating heparan sulfate level,0.8641,f
HP:0000837,Increased circulating gonadotropin level,HP:0430073,Decreased circulating beta-carotene concentration,0.9017,f
HP:0000837,Increased circulating gonadotropin level,HP:0500132,Hypovalinemia,0.8105,f
HP:0000837,Increased circulating gonadotropin level,HP:0500133,Hypotyrosinemia,0.8421,f
HP:0000837,Increased circulating gonadotropin level,HP:0500135,Hypotryptophanemia,0.8187,f
HP:0000837,Increased circulating gonadotropin level,HP:0500136,Hypothreoninemia,0.8425,f
HP:0000837,Increased circulating gonadotropin level,HP:0500139,Hypoprolinemia,0.8258,f
HP:0000837,Increased circulating gonadotropin level,HP:0500140,Decreased circulating hydroxyproline concentration,0.8664,f
HP:0000837,Increased circulating gonadotropin level,HP:0500141,Hypophenylalaninemia,0.8221,f
HP:0000837,Increased circulating gonadotropin level,HP:0500142,Hypolysinemia,0.8104,f
HP:0000837,Increased circulating gonadotropin level,HP:0500143,Hypoleucinemia,0.8396,f
HP:0000837,Increased circulating gonadotropin level,HP:0500144,Hypoisoleucinemia,0.8295,f
HP:0000837,Increased circulating gonadotropin level,HP:0500145,Hypohistidinemia,0.8220,f
HP:0000837,Increased circulating gonadotropin level,HP:0500147,Hypoglutaminemia,0.8484,f
HP:0000837,Increased circulating gonadotropin level,HP:0500150,Hypoglutamatemia,0.8264,f
HP:0000837,Increased circulating gonadotropin level,HP:0500152,Hypocystinemia,0.8316,f
HP:0000837,Increased circulating gonadotropin level,HP:0500154,Hypoalaninemia,0.8226,f
HP:0000837,Increased circulating gonadotropin level,HP:0500157,Hypoasparaginemia,0.8657,f
HP:0000837,Increased circulating gonadotropin level,HP:0500162,Decreased circulating carnosine concentration,0.8768,f
HP:0000837,Increased circulating gonadotropin level,HP:0500163,Hypoornithinemia,0.8246,f
HP:0000837,Increased circulating gonadotropin level,HP:0500182,Hypotaurinemia,0.8394,f
HP:0000842,Hyperinsulinemia,HP:0001882,Leukopenia,0.8959,f
HP:0000842,Hyperinsulinemia,HP:0001888,Lymphopenia,0.8911,f
HP:0000842,Hyperinsulinemia,HP:0001913,Granulocytopenia,0.8709,f
HP:0000842,Hyperinsulinemia,HP:0001943,Hypoglycemia,0.9057,f
HP:0000842,Hyperinsulinemia,HP:0001988,Recurrent hypoglycemia,0.8850,t
HP:0000842,Hyperinsulinemia,HP:0002148,Hypophosphatemia,0.9065,f
HP:0000842,Hyperinsulinemia,HP:0002720,Decreased circulating IgA concentration,0.7783,f
HP:0000842,Hyperinsulinemia,HP:0002850,Decreased circulating total IgM,0.7860,f
HP:0000842,Hyperinsulinemia,HP:0002900,Hypokalemia,0.8926,f
HP:0000842,Hyperinsulinemia,HP:0002901,Hypocalcemia,0.8880,f
HP:0000842,Hyperinsulinemia,HP:0002902,Hyponatremia,0.9178,f
HP:0000842,Hyperinsulinemia,HP:0002917,Hypomagnesemia,0.8845,f
HP:0000842,Hyperinsulinemia,HP:0002920,Decreased circulating ACTH concentration,0.7832,f
HP:0000842,Hyperinsulinemia,HP:0003073,Hypoalbuminemia,0.9092,f
HP:0000842,Hyperinsulinemia,HP:0003075,Hypoproteinemia,0.9029,f
HP:0000842,Hyperinsulinemia,HP:0003113,Hypochloremia,0.8364,f
HP:0000842,Hyperinsulinemia,HP:0003146,Hypocholesterolemia,0.9053,f
HP:0000842,Hyperinsulinemia,HP:0003233,Decreased HDL cholesterol concentration,0.8635,f
HP:0000842,Hyperinsulinemia,HP:0003234,Decreased circulating carnitine concentration,0.8059,f
HP:0000842,Hyperinsulinemia,HP:0003292,Decreased serum leptin,0.8228,f
HP:0000842,Hyperinsulinemia,HP:0003351,Decreased circulating renin concentration,0.7990,f
HP:0000842,Hyperinsulinemia,HP:0003537,Hypouricemia,0.9065,f
HP:0000842,Hyperinsulinemia,HP:0003563,Decreased LDL cholesterol concentration,0.8417,f
HP:0000842,Hyperinsulinemia,HP:0003572,Low plasma citrulline,0.8508,f
HP:0000842,Hyperinsulinemia,HP:0003658,Hypomethioninemia,0.8966,f
HP:0000842,Hyperinsulinemia,HP:0004313,Decreased circulating antibody concentration,0.7882,f
HP:0000842,Hyperinsulinemia,HP:0004315,Decreased circulating IgG concentration,0.7935,f
HP:0000842,Hyperinsulinemia,HP:0004319,Decreased circulating aldosterone concentration,0.8328,f
HP:0000842,Hyperinsulinemia,HP:0005479,Decreased circulating IgE concentration,0.7704,f
HP:0000842,Hyperinsulinemia,HP:0005510,Transient erythroblastopenia,0.8541,f
HP:0000842,Hyperinsulinemia,HP:0005961,Hypoargininemia,0.9369,f
HP:0000842,Hyperinsulinemia,HP:0008163,Decreased circulating cortisol level,0.8288,f
HP:0000842,Hyperinsulinemia,HP:0010837,Decreased circulating ceruloplasmin concentration,0.8052,f
HP:0000842,Hyperinsulinemia,HP:0010981,Hypolipoproteinemia,0.8991,f
HP:0000842,Hyperinsulinemia,HP:0011967,Decreased circulating copper concentration,0.7703,f
HP:0000842,Hyperinsulinemia,HP:0012052,Low serum calcitriol,0.8383,f
HP:0000842,Hyperinsulinemia,HP:0012053,Decreased circulating calcifediol concentration,0.7883,f
HP:0000842,Hyperinsulinemia,HP:0012101,Decreased serum creatinine,0.7925,f
HP:0000842,Hyperinsulinemia,HP:0012153,Hypotriglyceridemia,0.9081,f
HP:0000842,Hyperinsulinemia,HP:0012277,Hypoglycinemia,0.9238,f
HP:0000842,Hyperinsulinemia,HP:0012279,Hyposerinemia,0.9236,f
HP:0000842,Hyperinsulinemia,HP:0012417,Hypocapnia,0.8363,f
HP:0000842,Hyperinsulinemia,HP:0012418,Hypoxemia,0.8473,f
HP:0000842,Hyperinsulinemia,HP:0020222,Hypohomocysteinemia,0.8797,f
HP:0000842,Hyperinsulinemia,HP:0030339,Decreased circulating gonadotropin concentration,0.8247,f
HP:0000842,Hyperinsulinemia,HP:0030344,Decreased circulating luteinizing hormone level,0.8253,f
HP:0000842,Hyperinsulinemia,HP:0030349,Decreased circulating androgen concentration,0.7975,f
HP:0000842,Hyperinsulinemia,HP:0030689,Decreased glucagon level,0.8194,f
HP:0000842,Hyperinsulinemia,HP:0030985,Decreased serum bile acid concentration,0.8365,f
HP:0000842,Hyperinsulinemia,HP:0031242,Decreased circulating chylomicron concentration,0.7957,f
HP:0000842,Hyperinsulinemia,HP:0031243,Decreased VLDL cholesterol concentration,0.8399,f
