mondo_id1,mondo_term1,mondo_id2,mondo_term2,inverse_verified_by_llm
MONDO:0001566,hypercalcemia disease,MONDO:0018543,autosomal dominant hypocalcemia,yes
MONDO:0001575,chronic gonococcal salpingitis,MONDO:0001837,acute gonococcal salpingitis,yes
MONDO:0001610,acute dacryocystitis,MONDO:0004925,chronic dacryocystitis,yes
MONDO:0001650,acute cystitis,MONDO:0006030,chronic cystitis,yes
MONDO:0001689,hypertrophy of tongue papillae,MONDO:0001989,atrophic glossitis,yes
MONDO:0001817,acute closed-angle glaucoma,MONDO:0001966,chronic closed-angle glaucoma,no
MONDO:0001822,hypolipoproteinemia,MONDO:0037748,hyperlipoproteinemia,yes
MONDO:0001897,bilateral hyperactive labyrinth,MONDO:0003567,bilateral hypoactive labyrinth,yes
MONDO:0001917,chronic perichondritis of pinna,MONDO:0002240,acute perichondritis of pinna,yes
MONDO:0001930,acute cholangitis,MONDO:0004786,chronic cholangitis,yes
MONDO:0002049,thrombocytopenia,MONDO:0002249,thrombocytosis disease,yes
MONDO:0002107,unilateral hyperactive labyrinth,MONDO:0004801,unilateral hypoactive labyrinth,yes
MONDO:0002155,cholecystitis,MONDO:0043994,acute cholecystitis,no
MONDO:0002258,pharyngitis,MONDO:0020600,acute pharyngitis,no
MONDO:0002492,acute kidney failure,MONDO:0024327,chronic renal failure syndrome,no
MONDO:0002508,gingivitis,MONDO:0020782,chronic gingivitis,no
MONDO:0002738,acute transudative otitis media,MONDO:0021206,chronic non-suppurative otitis media,no
MONDO:0002909,hyperglycemia,MONDO:0004946,hypoglycemia,yes
MONDO:0003037,hypotrichosis,MONDO:0019280,hypertrichosis,yes
MONDO:0003047,thymic large cell neuroendocrine carcinoma,MONDO:0004122,thymus small cell carcinoma,no
MONDO:0003049,ovarian large-cell neuroendocrine carcinoma,MONDO:0003795,ovarian small cell carcinoma,no
MONDO:0003050,lung large cell carcinoma,MONDO:0008433,small cell lung carcinoma,yes
MONDO:0003299,colorectal leiomyoma,MONDO:0002092,small intestine leiomyoma,no
MONDO:0003781,bronchitis,MONDO:0005607,chronic bronchitis,no
MONDO:0003960,pulmonary large cell neuroendocrine carcinoma,MONDO:0008433,small cell lung carcinoma,no
MONDO:0003967,synchronous multifocal osteogenic sarcoma,MONDO:0003968,asynchronous multifocal osteogenic sarcoma,yes
MONDO:0004054,acute canaliculitis,MONDO:0004924,chronic canaliculitis,yes
MONDO:0004055,acute inflammation of lacrimal passage,MONDO:0004923,chronic inflammation of lacrimal passage,no
MONDO:0004106,"testicular yolk sac tumor, macrocystic pattern",MONDO:0004547,reticular pattern testicular yolk sac tumor,yes
MONDO:0004128,lung occult large cell carcinoma,MONDO:0003437,occult small cell lung carcinoma,no
MONDO:0004265,acute endometritis,MONDO:0024279,chronic endometritis,yes
MONDO:0004329,pancreatic intraductal papillary-mucinous neoplasm with high grade dysplasia,MONDO:0004381,pancreatic intraductal papillary-mucinous neoplasm with low grade dysplasia,no
MONDO:0004390,ocular hypotension,MONDO:0006875,ocular hypertension,yes
MONDO:0004425,hyperthyroidism,MONDO:0005420,hypothyroidism,yes
MONDO:0004460,thyroid gland fetal adenoma,MONDO:0004558,thyroid gland macrofollicular adenoma,no
MONDO:0004514,chronic rhinitis,MONDO:0005709,common cold,no
MONDO:0004611,soft palate cancer,MONDO:0004719,hard palate cancer,no
MONDO:0004613,acute intestinal ischemia,MONDO:0004622,chronic intestinal vascular insufficiency,yes
MONDO:0004614,chronic monocytic leukemia,MONDO:0007896,acute monocytic leukemia,yes
MONDO:0004719,hard palate cancer,MONDO:0021329,carcinoma of soft palate,no
MONDO:0004757,chronic ethmoidal sinusitis,MONDO:0004810,acute ethmoiditis,no
MONDO:0004800,chronic dacryoadenitis,MONDO:0004812,acute dacryoadenitis,yes
MONDO:0004806,chronic eosinophilic pneumonia,MONDO:0019122,idiopathic acute eosinophilic pneumonia,no
MONDO:0004893,hypertropia,MONDO:0004897,hypotropia,yes
MONDO:0004948,B-cell chronic lymphocytic leukemia,MONDO:0004967,acute lymphoblastic leukemia,no
MONDO:0004948,B-cell chronic lymphocytic leukemia,MONDO:0020511,precursor B-cell acute lymphoblastic leukemia,no
MONDO:0004963,T-cell acute lymphoblastic leukemia,MONDO:0019468,T-cell prolymphocytic leukemia,no
MONDO:0005003,chronic pancreatitis,MONDO:0006515,acute pancreatitis,yes
MONDO:0005008,colorectal adenocarcinoma,MONDO:0003198,small intestine adenocarcinoma,no
MONDO:0005044,hypertensive disorder,MONDO:0005468,hypotensive disorder,yes
MONDO:0005057,large cell neuroendocrine carcinoma,MONDO:0000402,small cell carcinoma,yes
MONDO:0005152,hypopituitarism,MONDO:0006793,hyperpituitarism,yes
MONDO:0005231,hepatitis C virus infection,MONDO:0100371,acute hepatitis C virus infection,no
MONDO:0005232,large cell carcinoma,MONDO:0000402,small cell carcinoma,yes
MONDO:0005335,colorectal neoplasm,MONDO:0004251,small intestine neoplasm,no
MONDO:0005344,hepatitis B virus infection,MONDO:0100370,acute hepatitis B virus infection,no
MONDO:0005354,chronic hepatitis C virus infection,MONDO:0100371,acute hepatitis C virus infection,no
MONDO:0005365,hearing loss disorder,MONDO:0043303,hyperacusis,yes
MONDO:0005366,chronic hepatitis B virus infection,MONDO:0100370,acute hepatitis B virus infection,yes
MONDO:0005417,wet macular degeneration,MONDO:0100114,dry age related macular degeneration,yes
MONDO:0005439,familial hypercholesterolemia,MONDO:0014252,familial hypobetalipoproteinemia 1,yes
MONDO:0005439,familial hypercholesterolemia,MONDO:0017774,hypobetalipoproteinemia,yes
MONDO:0005484,colorectal adenoma,MONDO:0021303,adenoma of small intestine,no
MONDO:0005494,triple-negative breast carcinoma,MONDO:0700078,triple-positive breast carcinoma,yes
MONDO:0005575,colorectal cancer,MONDO:0000956,small intestine cancer,no
MONDO:0005575,colorectal cancer,MONDO:0005522,small intestine carcinoma,no
MONDO:0006162,colorectal neuroendocrine tumor G1,MONDO:0000540,small intestinal neuroendocrine tumor G1,no
MONDO:0006347,pancreatic large cell neuroendocrine carcinoma,MONDO:0006348,pancreatic small cell neuroendocrine carcinoma,no
MONDO:0006404,salivary gland large cell carcinoma,MONDO:0006405,salivary gland small cell carcinoma,yes
MONDO:0006468,thyroid gland undifferentiated (anaplastic) carcinoma,MONDO:0015447,differentiated thyroid carcinoma,yes
MONDO:0006512,estrogen-receptor positive breast cancer,MONDO:0006513,estrogen-receptor negative breast cancer,yes
MONDO:0006561,eyelid hypopigmentation,MONDO:0007769,hyperpigmentation of eyelid,yes
MONDO:0006702,chronic inflammatory demyelinating polyradiculoneuropathy,MONDO:0020347,acute inflammatory demyelinating polyradiculoneuropathy,yes
MONDO:0006810,intracranial hypertension,MONDO:0006811,intracranial hypotension,yes
MONDO:0007190,"leukemia, chronic lymphocytic, susceptibility to, 2",MONDO:0013109,"leukemia, acute lymphocytic, susceptibility to, 2",no
MONDO:0007338,cleft soft palate,MONDO:0015092,cleft hard palate,no
MONDO:0007590,hemifacial hypertrophy,MONDO:0007710,facial hemiatrophy,yes
MONDO:0007691,"Guillain-Barre syndrome, familial",MONDO:0100169,"polyneuropathy, inflammatory demyelinating, chronic",no
MONDO:0007744,cholesterol-ester transfer protein deficiency,MONDO:0017773,hypoalphalipoproteinemia,yes
MONDO:0007744,cholesterol-ester transfer protein deficiency,MONDO:0100189,obsolete apolipoprotein A-I deficiency,no
MONDO:0007800,chromosome 18p deletion syndrome,MONDO:0011147,chromosome 18q deletion syndrome,no
MONDO:0007915,systemic lupus erythematosus,MONDO:0011138,"systemic lupus erythematosus, susceptibility to, 1",no
MONDO:0008013,chromosome 9p deletion syndrome,MONDO:0016908,partial monosomy of the long arm of chromosome 9,no
MONDO:0008199,late-onset Parkinson disease,MONDO:0017279,young-onset Parkinson disease,yes
MONDO:0008222,Andersen-Tawil syndrome,MONDO:0859368,short QT syndrome 7,no
MONDO:0008223,hypokalemic periodic paralysis,MONDO:0008224,hyperkalemic periodic paralysis,yes
MONDO:0008224,hyperkalemic periodic paralysis,MONDO:0013234,"hypokalemic periodic paralysis, type 2",yes
MONDO:0008722,short chain acyl-CoA dehydrogenase deficiency,MONDO:0020531,long chain acyl-CoA dehydrogenase deficiency,no
MONDO:0008745,oculocutaneous albinism type 1A,MONDO:0008746,oculocutaneous albinism type 2,no
MONDO:0009266,Gaucher disease type II,MONDO:0009267,Gaucher disease type III,no
MONDO:0009612,methylmalonic aciduria due to methylmalonyl-CoA mutase deficiency,MONDO:0017214,vitamin B12-responsive methylmalonic acidemia,no
MONDO:0009665,biotinidase deficiency,MONDO:0009666,holocarboxylase synthetase deficiency,no
MONDO:0010029,situs inversus,MONDO:0018677,visceral heterotaxy,no
MONDO:0010264,X-linked adrenal hypoplasia congenita,MONDO:0018479,congenital adrenal hyperplasia,no
MONDO:0011086,"severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-negative, NK cell-positive",MONDO:0012163,immunodeficiency 104,no
MONDO:0011240,megalencephaly-capillary malformation-polymicrogyria syndrome,MONDO:0013659,microcephaly-capillary malformation syndrome,no
MONDO:0011377,long QT syndrome 3,MONDO:0012314,short QT syndrome type 3,yes
MONDO:0011908,juvenile myelomonocytic leukemia,MONDO:0018871,acute myelomonocytic leukemia M4,no
MONDO:0011996,"chronic myelogenous leukemia, BCR-ABL1 positive",MONDO:0015667,acute myeloid leukemia by FAB classification,no
MONDO:0011996,"chronic myelogenous leukemia, BCR-ABL1 positive",MONDO:0018874,acute myeloid leukemia,no
MONDO:0012312,short QT syndrome type 1,MONDO:0100316,long QT syndrome 1,yes
MONDO:0012313,short QT syndrome type 2,MONDO:0013367,long QT syndrome 2,yes
MONDO:0012318,"leukemia, chronic lymphocytic, susceptibility to, 1",MONDO:0013108,"leukemia, acute lymphocytic, susceptibility to, 1",no
MONDO:0013600,insomnia,MONDO:0021107,narcolepsy,no
MONDO:0015027,familial isolated hyperparathyroidism,MONDO:0016390,familial hypoparathyroidism,yes
MONDO:0015488,obsolete predominantly large-vessel vasculitis,MONDO:0015490,obsolete predominantly small-vessel vasculitis,yes
MONDO:0015687,chronic eosinophilic leukemia,MONDO:0043881,obsolete acute eosinophilic leukemia,no
MONDO:0015731,high anorectal malformation,MONDO:0015733,low anorectal malformation,yes
MONDO:0015832,true unicornuate uterus,MONDO:0015833,pseudounicornuate uterus,yes
MONDO:0015893,obsolete rare hypothyroidism,MONDO:0015894,obsolete rare hyperthyroidism,yes
MONDO:0015896,obsolete rare hypoparathyroidism,MONDO:0015897,obsolete rare hyperparathyroidism,yes
MONDO:0015903,hyperalphalipoproteinemia,MONDO:0017773,hypoalphalipoproteinemia,yes
MONDO:0016089,infantile Krabbe disease,MONDO:0016090,late-infantile/juvenile Krabbe disease,no
MONDO:0016165,hereditary hypoparathyroidism,MONDO:0016166,hereditary hyperparathyroidism,yes
MONDO:0016241,alternating hemiplegia of childhood,MONDO:0018479,congenital adrenal hyperplasia,no
MONDO:0016435,obsolete acquired dermis elastic tissue disorder with decreased elastic tissue,MONDO:0016436,obsolete acquired dermis elastic tissue disorder with increased elastic tissue,yes
MONDO:0016525,familial hyperaldosteronism,MONDO:0018541,familial hypoaldosteronism,yes
MONDO:0016526,trisomy 9p,MONDO:0016960,partial trisomy of the long arm of chromosome 9,no
MONDO:0016680,high grade astrocytic tumor,MONDO:0021638,low grade astrocytic tumor,yes
MONDO:0016785,complete hydatidiform mole,MONDO:0016786,partial hydatidiform mole,no
MONDO:0016844,trisomy 20p,MONDO:0016970,partial trisomy of the long arm of chromosome 20,no
MONDO:0016877,partial deletion of the long arm of chromosome 12,MONDO:0022174,chromosome 12p deletion,no
MONDO:0016883,partial deletion of the short arm of chromosome 1,MONDO:0022756,chromosome 1q deletion,no
MONDO:0016884,partial deletion of the short arm of chromosome 2,MONDO:0016901,partial deletion of the long arm of chromosome 2,no
MONDO:0016885,partial deletion of the short arm of chromosome 3,MONDO:0016902,partial deletion of the long arm of chromosome 3,no
MONDO:0016887,partial deletion of the short arm of chromosome 5,MONDO:0016904,partial deletion of the long arm of chromosome 5,no
MONDO:0016888,partial deletion of the short arm of chromosome 6,MONDO:0016905,partial deletion of the long arm of chromosome 6,no
MONDO:0016889,partial deletion of the short arm of chromosome 7,MONDO:0016906,partial deletion of the long arm of chromosome 7,no
MONDO:0016890,partial deletion of the short arm of chromosome 8,MONDO:0016907,partial deletion of the long arm of chromosome 8,no
MONDO:0016892,partial deletion of the short arm of chromosome 10,MONDO:0016909,partial monosomy of the long arm of chromosome 10,no
MONDO:0016893,partial deletion of the short arm of chromosome 11,MONDO:0016910,partial deletion of the long arm of chromosome 11,no
MONDO:0016894,partial deletion of the short arm of chromosome 16,MONDO:0016914,partial deletion of the long arm of chromosome 16,no
MONDO:0016896,obsolete partial deletion of the short arm of chromosome 18,MONDO:0016916,obsolete partial deletion of the long arm of chromosome 18,yes
MONDO:0016897,partial deletion of the short arm of chromosome 19,MONDO:0016917,partial deletion of the long arm of chromosome 19,no
MONDO:0016898,partial monosomy of the short arm of chromosome 20,MONDO:0016918,partial deletion of the long arm of chromosome 20,no
MONDO:0016903,partial deletion of the long arm of chromosome 4,MONDO:0022762,chromosome 4 short arm deletion,no
MONDO:0016915,partial deletion of the long arm of chromosome 17,MONDO:0022754,chromosome 17p deletion,no
MONDO:0016939,partial duplication of the short arm of chromosome 2,MONDO:0016953,partial duplication of the long arm of chromosome 2,no
MONDO:0016940,partial duplication of the short arm of chromosome 3,MONDO:0016954,partial duplication of the long arm of chromosome 3,no
MONDO:0016941,partial duplication of the short arm of chromosome 4,MONDO:0016955,partial duplication of the long arm of chromosome 4,no
MONDO:0016943,partial duplication of the short arm of chromosome 6,MONDO:0016957,partial duplication of the long arm of chromosome 6,no
MONDO:0016944,partial duplication of the short arm of chromosome 7,MONDO:0016958,partial duplication of the long arm of chromosome 7,no
MONDO:0016945,partial duplication of the short arm of chromosome 8,MONDO:0016959,partial duplication of the long arm of chromosome 8,no
MONDO:0016947,partial duplication of the short arm of chromosome 10,MONDO:0016961,partial duplication of the long arm of chromosome 10,no
MONDO:0016948,partial duplication of the short arm of chromosome 11,MONDO:0022173,chromosome 11q trisomy,no
MONDO:0016949,partial duplication of the short arm of chromosome 16,MONDO:0016966,partial trisomy of the long arm of chromosome 16,no
MONDO:0016950,partial duplication of the short arm of chromosome 17,MONDO:0016967,partial duplication of the long arm of chromosome 17,no
MONDO:0016952,partial duplication of the long arm of chromosome 1,MONDO:0017012,partial duplication of the short arm of chromosome 1,no
MONDO:0016969,partial duplication of the long arm of chromosome 19,MONDO:0018659,partial duplication of the short arm of chromosome 19,no
MONDO:0017004,partial monosomy of the short arm of chromosome X,MONDO:0017007,partial deletion of the long arm of chromosome X,no
MONDO:0017009,partial duplication of the short arm of chromosome X,MONDO:0017010,partial duplication of the long arm of chromosome X,no
MONDO:0017060,open iniencephaly,MONDO:0017061,closed iniencephaly,yes
MONDO:0017202,acute endophthalmitis,MONDO:0017203,chronic endophthalmitis,yes
MONDO:0017363,idiopathic chronic eosinophilic pneumonia,MONDO:0019122,idiopathic acute eosinophilic pneumonia,no
MONDO:0017602,ALK-positive anaplastic large cell lymphoma,MONDO:0017603,ALK-negative anaplastic large cell lymphoma,yes
MONDO:0018076,tuberculosis,MONDO:0040753,latent tuberculosis infection,no
MONDO:0018871,acute myelomonocytic leukemia M4,MONDO:0020311,chronic myelomonocytic leukemia,no
MONDO:0019289,hyperpigmentation of the skin,MONDO:0019290,hypopigmentation of the skin,yes
MONDO:0019328,macrocystic lymphatic malformation,MONDO:0019329,microcystic lymphatic malformation,yes
MONDO:0019542,acute liver failure,MONDO:0100193,chronic liver failure,yes
MONDO:0019704,obsolete primary bone dysplasia with decreased bone density,MONDO:0019703,obsolete primary bone dysplasia with increased bone density,yes
MONDO:0019704,obsolete primary bone dysplasia with decreased bone density,MONDO:0800084,obsolete primary bone dysplasia with increased bone density,yes
MONDO:0019798,obsolete acute hepatic porphyria,MONDO:0019800,obsolete chronic hepatic porphyria,yes
MONDO:0020139,obsolete early-onset ataxia with dementia,MONDO:0020140,obsolete late-onset ataxia with dementia,yes
MONDO:0020307,self-limited epilepsy with autonomic seizures,MONDO:0020308,childhood occipital visual epilepsy,no
MONDO:0020546,acute graft versus host disease,MONDO:0020547,chronic graft versus host disease,yes
MONDO:0021204,chronic otitis media,MONDO:0024330,infectious otitis media,no
MONDO:0021329,carcinoma of soft palate,MONDO:0021339,carcinoma of hard palate,no
MONDO:0021444,benign neoplasm of large intestine,MONDO:0021501,benign neoplasm of small intestine,no
MONDO:0021480,benign neoplasm of soft palate,MONDO:0021518,benign neoplasm of hard palate,no
MONDO:0021637,low grade glioma,MONDO:0100342,malignant glioma,yes
MONDO:0021678,gram-negative bacterial infections,MONDO:0021679,gram-positive bacterial infections,yes
MONDO:0021811,acute mountain sickness,MONDO:0100434,chronic mountain sickness,yes
MONDO:0024182,dry beriberi,MONDO:0024183,wet beriberi,yes
MONDO:0024312,cancer of short bone of upper limb,MONDO:0100085,cancer of long bone of upper limb,no
MONDO:0024331,colorectal carcinoma,MONDO:0000956,small intestine cancer,no
MONDO:0024331,colorectal carcinoma,MONDO:0005522,small intestine carcinoma,no
MONDO:0024491,"tumor grade 1, general grading system",MONDO:0024493,"tumor grade 3, general grading system",no
MONDO:0024491,"tumor grade 1, general grading system",MONDO:0024494,"tumor grade 4, general grading system",no
MONDO:0024491,"tumor grade 1, general grading system",MONDO:0024497,"tumor grade 3 or 4, general grading system",no
MONDO:0024634,large intestine disorder,MONDO:0024635,small intestine disorder,no
MONDO:0024656,colorectal lymphoma,MONDO:0001852,small intestine lymphoma,no
MONDO:0035320,early-onset familial hypoaldosteronism,MONDO:0035321,late-onset familial hypoaldosteronism,yes
MONDO:0035344,acute bilirubin encephalopathy,MONDO:0035345,chronic bilirubin encephalopathy,yes
MONDO:0035444,acute mast cell leukemia,MONDO:0035445,chronic mast cell leukemia,yes
MONDO:0035943,B-lymphoblastic leukemia/lymphoma with hyperdiploidy,MONDO:0035944,B-lymphoblastic leukemia/lymphoma with hypodiploidy,yes
MONDO:0040753,latent tuberculosis infection,MONDO:0100481,active tuberculosis,yes
MONDO:0044200,T-B+ severe combined immunodeficiency,MONDO:0044201,T+ B+ severe combined immunodeficiency,yes
MONDO:0044212,chronic idiopathic urticaria,MONDO:0044213,acute idiopathic urticaria,yes
MONDO:0044243,obsolete nail high-sulfur protein,MONDO:0044244,obsolete nail low-sulfur protein,yes
MONDO:0044763,diarrheal disease secondary to decreased bowel motility,MONDO:0044762,diarrheal disease secondary to increased bowel motility,yes
MONDO:0100073,methicillin-resistant staphylococcus aureus infectious disease,MONDO:1040020,methicillin-susceptible staphylococcus aureus infectious disease,yes
MONDO:0100569,ACD-related short telomere syndrome,MONDO:0100570,ACD-related long telomere syndrome,yes
MONDO:0700093,balanced Robertsonian translocation Down syndrome,MONDO:0700094,unbalanced Robertsonian translocation Down syndrome,yes
MONDO:0850282,chronic asthma,MONDO:0850283,acute asthma,yes
MONDO:0956975,T2-high asthma,MONDO:0956976,T2-low asthma,yes
MONDO:1010050,"congenital adrenal hyperplasia, non-human animal",MONDO:1010063,"congenital adrenal hypoplasia, non-human animal",yes
MONDO:1010054,"hyperparathyroidism, non-human animal",MONDO:1010056,"hypoparathyroidism, non-human animal",yes
MONDO:1010591,"hyperparathyroidism, dog",MONDO:1010598,"hypoparathyroidism, dog",yes
MONDO:1010592,"hyperparathyroidism, domestic cat",MONDO:1010599,"hypoparathyroidism, domestic cat",yes
MONDO:1010593,"hyperparathyroidism, horse",MONDO:1010600,"hypoparathyroidism, horse",yes
MONDO:1011403,"hyperadrenocorticism, non-human animal",MONDO:1011675,"hypoadrenocorticism, non-human animal",yes
MONDO:1011530,"hyperadrenocorticism, dog",MONDO:1012109,"hypoadrenocorticism, dog",yes
MONDO:1011531,"hyperadrenocorticism, domestic cat",MONDO:1012110,"hypoadrenocorticism, domestic cat",yes
MONDO:1011534,"hyperadrenocorticism, horse",MONDO:1012111,"hypoadrenocorticism, horse",yes
MONDO:1012869,"long QT syndrome, KCNH2-related, rabbit",MONDO:1012897,"short QT syndrome, KCNH2-related, rabbit",yes
