hpo_id,hpo_term,bearer_iri,quality_iri
HP:0012093,Abnormality of endocrine pancreas physiology,UBERON:0000016,PATO:0001509
HP:0001738,Exocrine pancreatic insufficiency,UBERON:0000017,PATO:0000460
HP:0012092,Abnormality of exocrine pancreas physiology,UBERON:0000017,PATO:0000460
HP:0012092,Abnormality of exocrine pancreas physiology,UBERON:0000017,PATO:0001509
HP:0001738,Exocrine pancreatic insufficiency,UBERON:0000017,PATO:0001628
HP:0012372,Abnormal eye morphology,UBERON:0000019,PATO:0000051
HP:0000613,Photophobia,UBERON:0000019,PATO:0000460
HP:0011885,Hemorrhage of the eye,UBERON:0000019,PATO:0000460
HP:0012372,Abnormal eye morphology,UBERON:0000019,PATO:0000460
HP:0012373,Abnormal eye physiology,UBERON:0000019,PATO:0000460
HP:0011885,Hemorrhage of the eye,UBERON:0000019,PATO:0000470
HP:0012373,Abnormal eye physiology,UBERON:0000019,PATO:0001509
HP:0000613,Photophobia,UBERON:0000019,PATO:0001698
HP:0002733,Abnormal lymph node morphology,UBERON:0000029,PATO:0000051
HP:0002716,Lymphadenopathy,UBERON:0000029,PATO:0000460
HP:0002732,Lymph node hypoplasia,UBERON:0000029,PATO:0000460
HP:0002733,Abnormal lymph node morphology,UBERON:0000029,PATO:0000460
HP:0002840,Lymphadenitis,UBERON:0000029,PATO:0000460
HP:0002716,Lymphadenopathy,UBERON:0000029,PATO:0000644
HP:0002732,Lymph node hypoplasia,UBERON:0000029,PATO:0000645
HP:0002840,Lymphadenitis,UBERON:0000029,PATO:0000912
HP:0000234,Abnormality of the head,UBERON:0000033,PATO:0000001
HP:0000234,Abnormality of the head,UBERON:0000033,PATO:0000460
HP:0000243,Trigonocephaly,UBERON:0000033,PATO:0000460
HP:0000248,Brachycephaly,UBERON:0000033,PATO:0000460
HP:0000253,Progressive microcephaly,UBERON:0000033,PATO:0000460
HP:0000268,Dolichocephaly,UBERON:0000033,PATO:0000460
HP:0004481,Progressive macrocephaly,UBERON:0000033,PATO:0000460
HP:0005484,Secondary microcephaly,UBERON:0000033,PATO:0000460
HP:0040194,Increased head circumference,UBERON:0000033,PATO:0000460
HP:0040195,Decreased head circumference,UBERON:0000033,PATO:0000460
HP:0004481,Progressive macrocephaly,UBERON:0000033,PATO:0000586
HP:0040194,Increased head circumference,UBERON:0000033,PATO:0000586
HP:0000253,Progressive microcephaly,UBERON:0000033,PATO:0000587
HP:0000253,Progressive microcephaly,UBERON:0000033,PATO:0001818
HP:0004481,Progressive macrocephaly,UBERON:0000033,PATO:0001818
HP:0000243,Trigonocephaly,UBERON:0000033,PATO:0001875
HP:0040195,Decreased head circumference,UBERON:0000033,PATO:0001899
HP:0000248,Brachycephaly,UBERON:0000033,PATO:0002042
HP:0000268,Dolichocephaly,UBERON:0000033,PATO:0002043
HP:0005484,Secondary microcephaly,UBERON:0000033,PATO:0002302
HP:0045073,Serositis,UBERON:0000042,PATO:0000460
HP:0045073,Serositis,UBERON:0000042,PATO:0000912
HP:0100261,Abnormal tendon morphology,UBERON:0000043,PATO:0000051
HP:0001239,Wrist flexion contracture,UBERON:0000043,PATO:0000460
HP:0001371,Flexion contracture,UBERON:0000043,PATO:0000460
HP:0001836,Camptodactyly of toe,UBERON:0000043,PATO:0000460
HP:0002987,Elbow flexion contracture,UBERON:0000043,PATO:0000460
HP:0003044,Shoulder flexion contracture,UBERON:0000043,PATO:0000460
HP:0003273,Hip contracture,UBERON:0000043,PATO:0000460
HP:0005830,Flexion contracture of toe,UBERON:0000043,PATO:0000460
HP:0006380,Knee flexion contracture,UBERON:0000043,PATO:0000460
HP:0009186,Contracture of the metacarpophalangeal joint of the 5th finger,UBERON:0000043,PATO:0000460
HP:0009275,Contracture of the distal interphalangeal joint of the 4th finger,UBERON:0000043,PATO:0000460
HP:0009277,Contracture of the metacarpophalangeal joint of the 4th finger,UBERON:0000043,PATO:0000460
HP:0009469,Contracture of the distal interphalangeal joint of the 3rd finger,UBERON:0000043,PATO:0000460
HP:0009470,Contracture of the metacarpophalangeal joint of the 3rd finger,UBERON:0000043,PATO:0000460
HP:0009538,Contracture of the distal interphalangeal joint of the 2nd finger,UBERON:0000043,PATO:0000460
HP:0009624,Carpometacarpal thumb joint contracture,UBERON:0000043,PATO:0000460
HP:0009625,Metacarpophalangeal thumb joint contracture,UBERON:0000043,PATO:0000460
HP:0009626,Interphalangeal thumb joint contracture,UBERON:0000043,PATO:0000460
HP:0010215,Contractures of the metatarsophalangeal joint of the hallux,UBERON:0000043,PATO:0000460
HP:0012785,Flexion contracture of finger,UBERON:0000043,PATO:0000460
HP:0030044,Flexion contracture of digit,UBERON:0000043,PATO:0000460
HP:0100261,Abnormal tendon morphology,UBERON:0000043,PATO:0000460
HP:0100352,Contracture of the distal interphalangeal joint of the 2nd toe,UBERON:0000043,PATO:0000460
HP:0100353,Contracture of the distal interphalangeal joint of the 3rd toe,UBERON:0000043,PATO:0000460
HP:0100354,Contracture of the distal interphalangeal joint of the 4th toe,UBERON:0000043,PATO:0000460
HP:0100355,Contractures of the distal interphalangeal joint of the 5th toe,UBERON:0000043,PATO:0000460
HP:0100356,Contracture of the metatarsophalangeal joint of the 2nd toe,UBERON:0000043,PATO:0000460
HP:0100357,Contracture of the metatarsophalangeal joint of the 3rd toe,UBERON:0000043,PATO:0000460
HP:0100358,Contracture of the metatarsophalangeal joint of the 4th toe,UBERON:0000043,PATO:0000460
HP:0100359,Contracture of the metatarsophalangeal joint of the 5th toe,UBERON:0000043,PATO:0000460
HP:0100360,Upper-limb joint contracture,UBERON:0000043,PATO:0000460
HP:0001239,Wrist flexion contracture,UBERON:0000043,PATO:0000574
HP:0001371,Flexion contracture,UBERON:0000043,PATO:0000574
HP:0001836,Camptodactyly of toe,UBERON:0000043,PATO:0000574
HP:0002987,Elbow flexion contracture,UBERON:0000043,PATO:0000574
HP:0003044,Shoulder flexion contracture,UBERON:0000043,PATO:0000574
HP:0003273,Hip contracture,UBERON:0000043,PATO:0000574
HP:0005830,Flexion contracture of toe,UBERON:0000043,PATO:0000574
HP:0006380,Knee flexion contracture,UBERON:0000043,PATO:0000574
HP:0009186,Contracture of the metacarpophalangeal joint of the 5th finger,UBERON:0000043,PATO:0000574
HP:0009275,Contracture of the distal interphalangeal joint of the 4th finger,UBERON:0000043,PATO:0000574
HP:0009277,Contracture of the metacarpophalangeal joint of the 4th finger,UBERON:0000043,PATO:0000574
HP:0009469,Contracture of the distal interphalangeal joint of the 3rd finger,UBERON:0000043,PATO:0000574
HP:0009470,Contracture of the metacarpophalangeal joint of the 3rd finger,UBERON:0000043,PATO:0000574
HP:0009538,Contracture of the distal interphalangeal joint of the 2nd finger,UBERON:0000043,PATO:0000574
HP:0009624,Carpometacarpal thumb joint contracture,UBERON:0000043,PATO:0000574
HP:0009625,Metacarpophalangeal thumb joint contracture,UBERON:0000043,PATO:0000574
HP:0009626,Interphalangeal thumb joint contracture,UBERON:0000043,PATO:0000574
HP:0010215,Contractures of the metatarsophalangeal joint of the hallux,UBERON:0000043,PATO:0000574
HP:0012785,Flexion contracture of finger,UBERON:0000043,PATO:0000574
HP:0030044,Flexion contracture of digit,UBERON:0000043,PATO:0000574
HP:0100352,Contracture of the distal interphalangeal joint of the 2nd toe,UBERON:0000043,PATO:0000574
HP:0100353,Contracture of the distal interphalangeal joint of the 3rd toe,UBERON:0000043,PATO:0000574
HP:0100354,Contracture of the distal interphalangeal joint of the 4th toe,UBERON:0000043,PATO:0000574
HP:0100355,Contractures of the distal interphalangeal joint of the 5th toe,UBERON:0000043,PATO:0000574
HP:0100356,Contracture of the metatarsophalangeal joint of the 2nd toe,UBERON:0000043,PATO:0000574
HP:0100357,Contracture of the metatarsophalangeal joint of the 3rd toe,UBERON:0000043,PATO:0000574
HP:0100358,Contracture of the metatarsophalangeal joint of the 4th toe,UBERON:0000043,PATO:0000574
HP:0100359,Contracture of the metatarsophalangeal joint of the 5th toe,UBERON:0000043,PATO:0000574
HP:0100360,Upper-limb joint contracture,UBERON:0000043,PATO:0000574
HP:0410014,Abnormal ganglion morphology,UBERON:0000045,PATO:0000051
HP:0410014,Abnormal ganglion morphology,UBERON:0000045,PATO:0000460
HP:0008002,Abnormality of macular pigmentation,UBERON:0000053,PATO:0000001
HP:0001103,Abnormal macular morphology,UBERON:0000053,PATO:0000051
HP:0000608,Macular degeneration,UBERON:0000053,PATO:0000460
HP:0001103,Abnormal macular morphology,UBERON:0000053,PATO:0000460
HP:0001104,Macular hypoplasia,UBERON:0000053,PATO:0000460
HP:0001116,Macular coloboma,UBERON:0000053,PATO:0000460
HP:0007754,Macular dystrophy,UBERON:0000053,PATO:0000460
HP:0007988,Macular hypopigmentation,UBERON:0000053,PATO:0000460
HP:0008002,Abnormality of macular pigmentation,UBERON:0000053,PATO:0000460
HP:0008059,Aplasia/Hypoplasia of the macula,UBERON:0000053,PATO:0000460
HP:0011509,Macular hyperpigmentation,UBERON:0000053,PATO:0000460
HP:0040049,Macular edema,UBERON:0000053,PATO:0000460
HP:0001116,Macular coloboma,UBERON:0000053,PATO:0000609
HP:0000608,Macular degeneration,UBERON:0000053,PATO:0000639
HP:0001104,Macular hypoplasia,UBERON:0000053,PATO:0000645
HP:0007988,Macular hypopigmentation,UBERON:0000053,PATO:0000911
HP:0011509,Macular hyperpigmentation,UBERON:0000053,PATO:0000912
HP:0040049,Macular edema,UBERON:0000053,PATO:0001450
HP:0007754,Macular dystrophy,UBERON:0000053,PATO:0001780
HP:0008059,Aplasia/Hypoplasia of the macula,UBERON:0000053,PATO:0002290
HP:0011508,Macular hole,UBERON:0000054,PATO:0000460
HP:0011508,Macular hole,UBERON:0000054,PATO:0002112
HP:0000069,Abnormality of the ureter,UBERON:0000056,PATO:0000001
HP:0025633,Abnormal ureter morphology,UBERON:0000056,PATO:0000051
HP:0030037,Bifid ureter,UBERON:0000056,PATO:0000403
HP:0000069,Abnormality of the ureter,UBERON:0000056,PATO:0000460
HP:0000071,Ureteral stenosis,UBERON:0000056,PATO:0000460
HP:0000072,Hydroureter,UBERON:0000056,PATO:0000460
HP:0000073,Ureteral duplication,UBERON:0000056,PATO:0000460
HP:0005999,Ureteral atresia,UBERON:0000056,PATO:0000460
HP:0006000,Ureteral obstruction,UBERON:0000056,PATO:0000460
HP:0012300,Ureteral agenesis,UBERON:0000056,PATO:0000460
HP:0025633,Abnormal ureter morphology,UBERON:0000056,PATO:0000460
HP:0025634,Abnormal ureter physiology,UBERON:0000056,PATO:0000460
HP:0030037,Bifid ureter,UBERON:0000056,PATO:0000460
HP:0032464,Ureteral hypoplasia,UBERON:0000056,PATO:0000460
HP:0032464,Ureteral hypoplasia,UBERON:0000056,PATO:0000645
HP:0006000,Ureteral obstruction,UBERON:0000056,PATO:0000648
HP:0000073,Ureteral duplication,UBERON:0000056,PATO:0001473
HP:0025634,Abnormal ureter physiology,UBERON:0000056,PATO:0001509
HP:0000072,Hydroureter,UBERON:0000056,PATO:0001602
HP:0005999,Ureteral atresia,UBERON:0000056,PATO:0001819
HP:0000071,Ureteral stenosis,UBERON:0000056,PATO:0001847
HP:0012300,Ureteral agenesis,UBERON:0000056,PATO:0002291
HP:0000795,Abnormality of the urethra,UBERON:0000057,PATO:0000001
HP:0000068,Urethral atresia,UBERON:0000057,PATO:0000460
HP:0000795,Abnormality of the urethra,UBERON:0000057,PATO:0000460
HP:0008661,Urethral stenosis,UBERON:0000057,PATO:0000460
HP:0010480,Urethral fistula,UBERON:0000057,PATO:0000460
HP:0500006,Urethritis,UBERON:0000057,PATO:0000460
HP:0010480,Urethral fistula,UBERON:0000057,PATO:0000470
HP:0500006,Urethritis,UBERON:0000057,PATO:0000912
HP:0000068,Urethral atresia,UBERON:0000057,PATO:0001819
HP:0008661,Urethral stenosis,UBERON:0000057,PATO:0001847
HP:0002250,Abnormal large intestine morphology,UBERON:0000059,PATO:0000051
HP:0002037,Inflammation of the large intestine,UBERON:0000059,PATO:0000460
HP:0002250,Abnormal large intestine morphology,UBERON:0000059,PATO:0000460
HP:0012700,Abnormal large intestine physiology,UBERON:0000059,PATO:0000460
HP:0002037,Inflammation of the large intestine,UBERON:0000059,PATO:0000470
HP:0012700,Abnormal large intestine physiology,UBERON:0000059,PATO:0001509
HP:0000095,Abnormal renal glomerulus morphology,UBERON:0000074,PATO:0000051
HP:0000095,Abnormal renal glomerulus morphology,UBERON:0000074,PATO:0000460
HP:0000096,Glomerular sclerosis,UBERON:0000074,PATO:0000460
HP:0030162,Glomerulomegaly,UBERON:0000074,PATO:0000460
HP:0000096,Glomerular sclerosis,UBERON:0000074,PATO:0000470
HP:0030162,Glomerulomegaly,UBERON:0000074,PATO:0000586
HP:0010461,Abnormality of the male genitalia,UBERON:0000079,PATO:0000001
HP:0010461,Abnormality of the male genitalia,UBERON:0000079,PATO:0000460
HP:0012874,Abnormal male reproductive system physiology,UBERON:0000079,PATO:0000460
HP:0012874,Abnormal male reproductive system physiology,UBERON:0000079,PATO:0001509
HP:0004930,Abnormality of the pulmonary vasculature,UBERON:0000102,PATO:0000001
HP:0004930,Abnormality of the pulmonary vasculature,UBERON:0000102,PATO:0000460
HP:0005311,Agenesis of pulmonary vessels,UBERON:0000102,PATO:0000460
HP:0005311,Agenesis of pulmonary vessels,UBERON:0000102,PATO:0000462
HP:0008303,Olivary degeneration,UBERON:0000128,PATO:0000460
HP:0008303,Olivary degeneration,UBERON:0000128,PATO:0000639
HP:0002025,Anal stenosis,UBERON:0000159,PATO:0000460
HP:0002025,Anal stenosis,UBERON:0000159,PATO:0001847
HP:0002242,Abnormal intestine morphology,UBERON:0000160,PATO:0000051
HP:0002242,Abnormal intestine morphology,UBERON:0000160,PATO:0000460
HP:0002584,Intestinal bleeding,UBERON:0000160,PATO:0000460
HP:0004788,Intestinal lymphedema,UBERON:0000160,PATO:0000460
HP:0005214,Intestinal obstruction,UBERON:0000160,PATO:0000460
HP:0005222,Bowel diverticulosis,UBERON:0000160,PATO:0000460
HP:0005225,Intestinal edema,UBERON:0000160,PATO:0000460
HP:0005245,Intestinal hypoplasia,UBERON:0000160,PATO:0000460
HP:0005266,Intestinal polyp,UBERON:0000160,PATO:0000460
HP:0005606,Hyperpigmented nevi and streak,UBERON:0000160,PATO:0000460
HP:0011100,Intestinal atresia,UBERON:0000160,PATO:0000460
HP:0100668,Intestinal duplication,UBERON:0000160,PATO:0000460
HP:0100819,Intestinal fistula,UBERON:0000160,PATO:0000460
HP:0002584,Intestinal bleeding,UBERON:0000160,PATO:0000470
HP:0005222,Bowel diverticulosis,UBERON:0000160,PATO:0000470
HP:0005266,Intestinal polyp,UBERON:0000160,PATO:0000470
HP:0100819,Intestinal fistula,UBERON:0000160,PATO:0000470
HP:0005606,Hyperpigmented nevi and streak,UBERON:0000160,PATO:0000498
HP:0005245,Intestinal hypoplasia,UBERON:0000160,PATO:0000645
HP:0005214,Intestinal obstruction,UBERON:0000160,PATO:0000648
HP:0005225,Intestinal edema,UBERON:0000160,PATO:0001450
HP:0100668,Intestinal duplication,UBERON:0000160,PATO:0001473
HP:0011100,Intestinal atresia,UBERON:0000160,PATO:0001819
HP:0012620,Cloacal abnormality,UBERON:0000163,PATO:0000001
HP:0012620,Cloacal abnormality,UBERON:0000163,PATO:0000460
HP:0000153,Abnormality of the mouth,UBERON:0000165,PATO:0000001
HP:0000326,Abnormal maxilla morphology,UBERON:0000165,PATO:0000051
HP:0031816,Abnormal oral morphology,UBERON:0000165,PATO:0000051
HP:0011338,Abnormality of mouth shape,UBERON:0000165,PATO:0000052
HP:0011337,Abnormality of mouth size,UBERON:0000165,PATO:0000117
HP:0000153,Abnormality of the mouth,UBERON:0000165,PATO:0000460
HP:0000154,Wide mouth,UBERON:0000165,PATO:0000460
HP:0000160,Narrow mouth,UBERON:0000165,PATO:0000460
HP:0000194,Open mouth,UBERON:0000165,PATO:0000460
HP:0000207,Triangular mouth,UBERON:0000165,PATO:0000460
HP:0000217,Xerostomia,UBERON:0000165,PATO:0000460
HP:0000326,Abnormal maxilla morphology,UBERON:0000165,PATO:0000460
HP:0009941,Asymmetry of the mouth,UBERON:0000165,PATO:0000460
HP:0011337,Abnormality of mouth size,UBERON:0000165,PATO:0000460
HP:0011338,Abnormality of mouth shape,UBERON:0000165,PATO:0000460
HP:0031815,Abnormal oral physiology,UBERON:0000165,PATO:0000460
HP:0031816,Abnormal oral morphology,UBERON:0000165,PATO:0000460
HP:0000160,Narrow mouth,UBERON:0000165,PATO:0000599
HP:0000154,Wide mouth,UBERON:0000165,PATO:0000600
HP:0000194,Open mouth,UBERON:0000165,PATO:0000610
HP:0009941,Asymmetry of the mouth,UBERON:0000165,PATO:0000616
HP:0031815,Abnormal oral physiology,UBERON:0000165,PATO:0001509
HP:0000217,Xerostomia,UBERON:0000165,PATO:0001824
HP:0000207,Triangular mouth,UBERON:0000165,PATO:0001875
HP:0000163,Abnormal oral cavity morphology,UBERON:0000167,PATO:0000051
HP:0000163,Abnormal oral cavity morphology,UBERON:0000167,PATO:0000460
HP:0040184,Oral bleeding,UBERON:0000167,PATO:0000460
HP:0040184,Oral bleeding,UBERON:0000167,PATO:0000470
HP:0011615,Abnormal pulmonary situs morphology,UBERON:0000170,PATO:0000140
HP:0011615,Abnormal pulmonary situs morphology,UBERON:0000170,PATO:0000460
HP:0001560,Abnormality of the amniotic fluid,UBERON:0000173,PATO:0000001
HP:0001560,Abnormality of the amniotic fluid,UBERON:0000173,PATO:0000460
HP:0001561,Polyhydramnios,UBERON:0000173,PATO:0000460
HP:0001561,Polyhydramnios,UBERON:0000173,PATO:0000595
HP:0003107,Abnormal circulating cholesterol concentration,UBERON:0000178,PATO:0000070
HP:0003111,Abnormal blood ion concentration,UBERON:0000178,PATO:0000070
HP:0003112,Abnormal circulating amino acid concentration,UBERON:0000178,PATO:0000070
HP:0003117,Abnormal circulating hormone concentration,UBERON:0000178,PATO:0000070
HP:0003119,Abnormal circulating lipid concentration,UBERON:0000178,PATO:0000070
HP:0004338,Abnormal circulating aromatic amino acid concentration,UBERON:0000178,PATO:0000070
HP:0004339,Abnormal circulating sulfur amino acid concentration,UBERON:0000178,PATO:0000070
HP:0004352,Abnormal circulating purine concentration,UBERON:0000178,PATO:0000070
HP:0004353,Abnormal circulating pyrimidine concentration,UBERON:0000178,PATO:0000070
HP:0004354,Abnormal circulating carboxylic acid concentration,UBERON:0000178,PATO:0000070
HP:0004357,Abnormal circulating leucine concentration,UBERON:0000178,PATO:0000070
HP:0004359,Abnormal circulating fatty-acid concentration,UBERON:0000178,PATO:0000070
HP:0004361,Abnormal circulating leptin concentration,UBERON:0000178,PATO:0000070
HP:0004363,Abnormal circulating calcium concentration,UBERON:0000178,PATO:0000070
HP:0004364,Abnormal circulating nitrogen compound concentration,UBERON:0000178,PATO:0000070
HP:0004365,Abnormal circulating tryptophan concentration,UBERON:0000178,PATO:0000070
HP:0004921,Abnormal magnesium concentration,UBERON:0000178,PATO:0000070
HP:0008277,Abnormal blood zinc concentration,UBERON:0000178,PATO:0000070
HP:0010472,Abnormal circulating porphyrin concentration,UBERON:0000178,PATO:0000070
HP:0010701,Abnormal circulating immunoglobulin concentration,UBERON:0000178,PATO:0000070
HP:0010836,Abnormal circulating copper concentration,UBERON:0000178,PATO:0000070
HP:0010876,Abnormal circulating protein concentration,UBERON:0000178,PATO:0000070
HP:0010892,Abnormal circulating branched chain amino acid concentration,UBERON:0000178,PATO:0000070
HP:0010893,Abnormal circulating phenylalanine concentration,UBERON:0000178,PATO:0000070
HP:0010894,Abnormal circulating serine family amino acid concentration,UBERON:0000178,PATO:0000070
HP:0010895,Abnormal circulating glycine concentration,UBERON:0000178,PATO:0000070
HP:0010898,Abnormal circulating sarcosine concentration,UBERON:0000178,PATO:0000070
HP:0010899,Abnormal circulating aspartate family amino acid concentration,UBERON:0000178,PATO:0000070
HP:0010900,Abnormal circulating threonine concentration,UBERON:0000178,PATO:0000070
HP:0010901,Abnormal circulating methionine concentration,UBERON:0000178,PATO:0000070
HP:0010902,Abnormal circulating glutamine family amino acid concentration,UBERON:0000178,PATO:0000070
HP:0010903,Abnormal circulating glutamine concentration,UBERON:0000178,PATO:0000070
HP:0010904,Abnormal circulating histidine concentration,UBERON:0000178,PATO:0000070
HP:0010907,Abnormal circulating proline concentration,UBERON:0000178,PATO:0000070
HP:0010908,Abnormal circulating lysine concentration,UBERON:0000178,PATO:0000070
HP:0010909,Abnormal circulating arginine concentration,UBERON:0000178,PATO:0000070
HP:0010912,Abnormal circulating isoleucine concentration,UBERON:0000178,PATO:0000070
HP:0010914,Abnormal circulating valine concentration,UBERON:0000178,PATO:0000070
HP:0010915,Abnormal circulating pyruvate family amino acid concentration,UBERON:0000178,PATO:0000070
HP:0010916,Abnormal circulating alanine concentration,UBERON:0000178,PATO:0000070
HP:0010917,Abnormal circulating tyrosine concentration,UBERON:0000178,PATO:0000070
HP:0010918,Abnormal circulating cysteine concentration,UBERON:0000178,PATO:0000070
HP:0010919,Abnormal circulating homocysteine concentration,UBERON:0000178,PATO:0000070
HP:0010927,Abnormal blood inorganic cation concentration,UBERON:0000178,PATO:0000070
HP:0010929,Abnormal blood cation concentration,UBERON:0000178,PATO:0000070
HP:0010930,Abnormal blood monovalent inorganic cation concentration,UBERON:0000178,PATO:0000070
HP:0010931,Abnormal blood sodium concentration,UBERON:0000178,PATO:0000070
HP:0010932,Abnormal circulating nucleobase concentration,UBERON:0000178,PATO:0000070
HP:0010933,Hyperxanthinemia,UBERON:0000178,PATO:0000070
HP:0010964,Abnormal circulating long-chain fatty-acid concentration,UBERON:0000178,PATO:0000070
HP:0010965,Abnormal circulating phytanic acid concentration,UBERON:0000178,PATO:0000070
HP:0010966,Abnormal circulating fatty-acid anion concentration,UBERON:0000178,PATO:0000070
HP:0010967,Abnormal circulating carnitine concentration,UBERON:0000178,PATO:0000070
HP:0010979,Abnormality of lipoprotein cholesterol concentration,UBERON:0000178,PATO:0000070
