hpo_id1,hpo_term1,hpo_id2,hpo_term2,inverse_verified_by_llm_openai,inverse_verified_by_llm_aws,inverse_verified_by_llm_deepseek,inverse_verified_by_llm_together,inverse_verified_by_llm_google,inverse_verified_by_llm_xai
HP:0004826,Folate-unresponsive megaloblastic anemia,HP:0004851,Folate-responsive megaloblastic anemia,yes,no,no,yes,yes,yes
HP:0009258,Small epiphysis of the distal phalanx of the 4th finger,HP:0010231,Enlarged epiphyses of the phalanges of the hand,no,no,no,yes,no,yes
HP:0009354,Small epiphysis of the proximal phalanx of the 3rd finger,HP:0009413,Enlarged epiphyses of the 3rd finger,yes,yes,no,yes,yes,yes
HP:0030348,Increased circulating androgen concentration,HP:0040171,Decreased serum testosterone concentration,yes,yes,no,yes,no,yes
HP:0005404,Increased B cell count,HP:0010976,B lymphocytopenia,yes,yes,no,yes,yes,yes
HP:0009343,Small epiphysis of the distal phalanx of the 3rd finger,HP:0010231,Enlarged epiphyses of the phalanges of the hand,no,no,no,yes,no,yes
HP:0009349,Enlarged epiphysis of the proximal phalanx of the 3rd finger,HP:0010276,Small epiphyses of the proximal phalanges of the hand,no,no,no,yes,no,yes
HP:0009804,Tooth agenesis,HP:0011069,Supernumerary tooth,yes,no,yes,no,yes,yes
HP:0003141,Increased LDL cholesterol concentration,HP:0003146,Hypocholesterolemia,yes,yes,no,yes,yes,no
HP:0010980,Hyperlipoproteinemia,HP:0031243,Decreased VLDL cholesterol concentration,yes,no,no,no,yes,yes
HP:0009329,Small epiphysis of the middle phalanx of the 3rd finger,HP:0010260,Enlarged epiphyses of the middle phalanges of the hand,yes,no,no,yes,yes,yes
HP:0010585,Small epiphyses,HP:0100080,Enlarged epiphyses of the 5th toe,no,no,yes,yes,no,no
HP:0025624,Reduced proportion of CD4+ effector memory T cells,HP:0410394,"Increased proportion of effector memory CD4-positive, alpha-beta T cells",yes,no,yes,yes,yes,yes
HP:0001090,Abnormally large globe,HP:0007633,Bilateral microphthalmos,yes,no,no,yes,yes,yes
HP:0010121,Small epiphyses of the hallux,HP:0010141,Enlarged epiphysis of the distal phalanx of the hallux,no,no,no,yes,no,yes
HP:0011340,Incomplete cleft of the upper lip,HP:5201009,Complete cleft of the upper lip,no,yes,yes,yes,yes,yes
HP:0006462,Generalized bone demineralization,HP:0011002,Osteopetrosis,yes,no,yes,yes,yes,yes
HP:0009418,Small epiphyses of the 3rd finger,HP:0010231,Enlarged epiphyses of the phalanges of the hand,no,no,no,yes,no,yes
HP:0009678,Enlarged epiphysis of the distal phalanx of the thumb,HP:0009694,Small thumb epiphysis,yes,no,yes,yes,yes,yes
HP:0025434,Reduced circulating CH50 activity,HP:0031905,Increased total hemolytic complement activity,yes,no,no,yes,yes,yes
HP:0025693,Pituitary macroadenoma,HP:0025694,Pituitary microadenoma,no,no,yes,yes,yes,yes
HP:0004660,Hypoplasia of facial musculature,HP:0012892,Facial muscle hypertrophy,yes,yes,no,yes,yes,yes
HP:0009147,Enlarged epiphysis of the distal phalanx of the 5th finger,HP:0009390,Small epiphyses of the 5th finger,no,yes,yes,yes,yes,no
HP:0004324,Increased body weight,HP:0004326,Cachexia,yes,no,no,yes,yes,yes
HP:0003844,Small epiphyses of the upper limbs,HP:0010580,Enlarged epiphyses,yes,yes,no,yes,yes,yes
HP:0009269,Small epiphysis of the proximal phalanx of the 4th finger,HP:0009396,Enlarged epiphyses of the 4th finger,yes,yes,no,yes,yes,yes
HP:0006336,Short dental root,HP:0033189,Radiculomegaly,yes,yes,no,yes,yes,yes
HP:0003237,Increased circulating IgG concentration,HP:0004313,Decreased circulating antibody concentration,yes,no,no,yes,yes,no
HP:0010580,Enlarged epiphyses,HP:0100199,Small epiphysis of the proximal phalanx of the 4th toe,yes,no,yes,no,no,yes
HP:0003362,Increased VLDL cholesterol concentration,HP:0012153,Hypotriglyceridemia,no,no,no,yes,yes,yes
HP:0003362,Increased VLDL cholesterol concentration,HP:0045014,Hypolipidemia,yes,no,no,no,no,no
HP:0003286,Cystathioninemia,HP:0500152,Hypocystinemia,yes,yes,no,no,no,no
HP:0009269,Small epiphysis of the proximal phalanx of the 4th finger,HP:0010271,Enlarged epiphyses of the proximal phalanges of the hand,no,no,no,yes,no,yes
HP:0009253,Enlarged epiphysis of the distal phalanx of the 4th finger,HP:0009401,Small epiphyses of the 4th finger,no,yes,yes,yes,yes,yes
HP:0009329,Small epiphysis of the middle phalanx of the 3rd finger,HP:0010231,Enlarged epiphyses of the phalanges of the hand,no,no,no,yes,no,yes
HP:0000938,Osteopenia,HP:0011002,Osteopetrosis,yes,yes,yes,yes,no,yes
HP:0003141,Increased LDL cholesterol concentration,HP:0010981,Hypolipoproteinemia,yes,no,no,yes,yes,yes
HP:0009496,Small epiphyses of the 2nd finger,HP:0009505,Enlarged epiphysis of the distal phalanx of the 2nd finger,no,yes,no,yes,no,yes
HP:0010236,Small epiphyses of the phalanges of the hand,HP:0010249,Enlarged epiphyses of the distal phalanges of the hand,yes,yes,no,yes,yes,yes
HP:0001403,Macrovesicular hepatic steatosis,HP:0001414,Microvesicular hepatic steatosis,yes,yes,yes,no,no,yes
HP:0009496,Small epiphyses of the 2nd finger,HP:0010231,Enlarged epiphyses of the phalanges of the hand,no,no,no,yes,no,yes
HP:0001376,Limitation of joint mobility,HP:0006094,Finger joint hypermobility,yes,yes,no,no,yes,yes
HP:0009491,Enlarged epiphyses of the 2nd finger,HP:0009510,Small epiphysis of the distal phalanx of the 2nd finger,no,no,yes,no,no,yes
HP:0002160,Hyperhomocystinemia,HP:0500152,Hypocystinemia,yes,no,yes,yes,no,yes
HP:0002945,Intervertebral space narrowing,HP:0030320,Increased intervertebral space,yes,yes,no,yes,yes,yes
HP:0000568,Microphthalmia,HP:0001090,Abnormally large globe,yes,no,no,yes,yes,yes
HP:0000347,Micrognathia,HP:0040309,Increased size of the mandible,yes,no,no,yes,yes,yes
HP:0000668,Hypodontia,HP:0011069,Supernumerary tooth,yes,no,no,no,yes,yes
HP:0003077,Hyperlipidemia,HP:0012153,Hypotriglyceridemia,yes,no,no,no,no,no
HP:0009258,Small epiphysis of the distal phalanx of the 4th finger,HP:0009396,Enlarged epiphyses of the 4th finger,yes,yes,no,yes,yes,yes
HP:0000303,Mandibular prognathia,HP:0000347,Micrognathia,yes,no,yes,yes,yes,yes
HP:0010170,Small epiphyses of the toes,HP:0100058,Enlarged epiphyses of the 3rd toe,no,no,no,yes,yes,no
HP:0004488,Macrocephaly at birth,HP:0011451,Primary microcephaly,yes,no,yes,yes,yes,yes
HP:0025648,Steroid-sensitive nephrotic syndrome with infrequent relapses,HP:0025649,Steroid-sensitive nephrotic syndrome with frequent relapses,yes,yes,yes,no,yes,yes
HP:0010702,Increased circulating antibody concentration,HP:0500142,Hypolysinemia,no,no,no,no,yes,no
HP:0009338,Enlarged epiphysis of the distal phalanx of the 3rd finger,HP:0010254,Small epiphyses of the distal phalanges of the hand,no,no,no,yes,no,yes
HP:0004879,Intermittent hyperventilation,HP:0004881,Episodic hypoventilation,yes,yes,no,yes,yes,yes
HP:0025330,Downgaze palsy,HP:0025331,Upgaze palsy,yes,yes,yes,no,yes,yes
HP:0032994,Supernumerary pulmonary fissure,HP:0032995,Decreased pulmonary fissure count,yes,no,no,yes,yes,yes
HP:0011775,Thyroid macrofollicular adenoma,HP:0011776,Thyroid microfollicular adenoma,yes,no,no,yes,yes,yes
HP:0009527,Enlarged epiphysis of the proximal phalanx of the 2nd finger,HP:0010236,Small epiphyses of the phalanges of the hand,no,no,no,no,no,yes
HP:0100080,Enlarged epiphyses of the 5th toe,HP:0100232,Small epiphysis of the proximal phalanx of the 5th toe,no,no,yes,no,no,yes
HP:0009401,Small epiphyses of the 4th finger,HP:0010231,Enlarged epiphyses of the phalanges of the hand,no,no,no,yes,no,yes
HP:0001321,Cerebellar hypoplasia,HP:0012081,Enlarged cerebellum,yes,yes,no,yes,yes,yes
HP:0009222,Small epiphysis of the middle phalanx of the 4th finger,HP:0010231,Enlarged epiphyses of the phalanges of the hand,no,no,no,yes,no,yes
HP:0005170,Complete heart block with broad QRS complexes,HP:0005178,Complete heart block with narrow QRS complexes,no,no,yes,no,yes,yes
HP:0009148,Small epiphysis of the distal phalanx of the 5th finger,HP:0010249,Enlarged epiphyses of the distal phalanges of the hand,no,no,no,yes,no,no
HP:0002866,Hypoplastic iliac wing,HP:0008818,Large iliac wing,yes,no,no,yes,yes,yes
HP:0100069,Enlarged epiphyses of the 4th toe,HP:0100177,Small epiphysis of the distal phalanx of the 4th toe,no,no,yes,yes,no,yes
HP:0002946,Supernumerary vertebrae,HP:0030305,Decreased number of vertebrae,yes,no,yes,yes,yes,yes
HP:0009672,Small epiphysis of the proximal phalanx of the thumb,HP:0009689,Enlarged thumb epiphysis,yes,no,no,yes,yes,yes
HP:0001849,Foot oligodactyly,HP:0010328,Polydactyly affecting the 2nd toe,no,no,no,no,no,yes
HP:0009338,Enlarged epiphysis of the distal phalanx of the 3rd finger,HP:0009418,Small epiphyses of the 3rd finger,no,yes,yes,yes,yes,yes
HP:0009510,Small epiphysis of the distal phalanx of the 2nd finger,HP:0010249,Enlarged epiphyses of the distal phalanges of the hand,no,no,no,yes,no,yes
HP:0003124,Hypercholesterolemia,HP:0045014,Hypolipidemia,no,no,no,yes,yes,no
HP:0000963,Thin skin,HP:0001072,Thickened skin,yes,yes,no,yes,yes,yes
HP:0010236,Small epiphyses of the phalanges of the hand,HP:0010260,Enlarged epiphyses of the middle phalanges of the hand,yes,yes,no,yes,yes,yes
HP:0001498,Carpal bone hypoplasia,HP:0004237,Large carpal bones,yes,no,no,yes,yes,yes
HP:0010121,Small epiphyses of the hallux,HP:0010165,Enlarged epiphyses of the toes,no,yes,no,yes,no,no
HP:0003155,Elevated circulating alkaline phosphatase concentration,HP:0003282,Decreased circulating alkaline phosphatase activity,yes,no,yes,yes,no,yes
HP:0033911,Cortical radial artery medial hypertrophy,HP:0033912,Cortical radial artery medial atrophy,yes,yes,no,yes,yes,yes
HP:0000581,Blepharophimosis,HP:0000637,Long palpebral fissure,yes,no,no,yes,yes,yes
HP:0003141,Increased LDL cholesterol concentration,HP:0045014,Hypolipidemia,yes,no,no,no,yes,no
HP:0009349,Enlarged epiphysis of the proximal phalanx of the 3rd finger,HP:0009418,Small epiphyses of the 3rd finger,no,yes,no,yes,yes,yes
HP:0009148,Small epiphysis of the distal phalanx of the 5th finger,HP:0009385,Enlarged epiphyses of the 5th finger,no,yes,no,yes,yes,yes
HP:0000319,Smooth philtrum,HP:0002002,Deep philtrum,yes,no,yes,yes,yes,yes
HP:0010934,Xanthinuria,HP:0040426,Decreased urinary hypoxanthine level,no,no,no,yes,yes,no
HP:0040329,Multifocal hyperintensity of cerebral white matter on MRI,HP:0040332,Multifocal hypointensity of cerebral white matter on MRI,yes,yes,yes,yes,no,yes
HP:0003124,Hypercholesterolemia,HP:0003563,Decreased LDL cholesterol concentration,yes,no,no,yes,yes,yes
HP:0003646,Bicarbonaturia,HP:0045011,Decreased urine bicarbonate concentration,yes,no,no,yes,yes,yes
HP:0003090,Hypoplasia of the capital femoral epiphysis,HP:0003371,Enlargement of the proximal femoral epiphysis,yes,no,yes,yes,yes,yes
HP:0004349,Reduced bone mineral density,HP:0005789,Generalized osteosclerosis,yes,no,no,yes,yes,yes
HP:0100063,Small epiphyses of the 3rd toe,HP:0100149,Enlarged epiphysis of the middle phalanx of the 3rd toe,no,no,no,yes,no,no
HP:0009159,Small epiphysis of the proximal phalanx of the 5th finger,HP:0009385,Enlarged epiphyses of the 5th finger,no,yes,no,yes,yes,yes
HP:0002157,Azotemia,HP:0031969,Reduced blood urea nitrogen,yes,no,no,yes,yes,yes
HP:0007149,Distal upper limb amyotrophy,HP:0040267,Distal upper limb muscle hypertrophy,yes,yes,no,yes,yes,yes
HP:0003022,Hypoplasia of the ulna,HP:0003988,Long ulna,yes,no,no,yes,yes,yes
HP:0009746,Thick nasal septum,HP:0009936,Narrow nasal septum,yes,yes,yes,no,yes,no
HP:0001849,Foot oligodactyly,HP:0010334,Polydactyly affecting the 3rd toe,no,no,yes,no,no,yes
HP:0000013,Hypoplasia of the uterus,HP:0100878,Enlarged uterus,yes,yes,no,yes,yes,yes
HP:0011800,Midface retrusion,HP:0012371,Hyperplasia of midface,yes,no,no,yes,yes,yes
HP:0001413,Micronodular cirrhosis,HP:0006577,Macronodular cirrhosis,yes,no,yes,yes,yes,yes
HP:0000089,Renal hypoplasia,HP:0000105,Enlarged kidney,yes,no,no,yes,yes,yes
HP:0009264,Enlarged epiphysis of the proximal phalanx of the 4th finger,HP:0010276,Small epiphyses of the proximal phalanges of the hand,no,no,no,yes,no,yes
HP:0002213,Fine hair,HP:0100874,Thick hair,yes,yes,yes,no,yes,yes
HP:0005484,Secondary microcephaly,HP:0005490,Postnatal macrocephaly,yes,no,no,yes,yes,yes
HP:0009354,Small epiphysis of the proximal phalanx of the 3rd finger,HP:0010231,Enlarged epiphyses of the phalanges of the hand,no,no,no,yes,no,yes
HP:0009496,Small epiphyses of the 2nd finger,HP:0009527,Enlarged epiphysis of the proximal phalanx of the 2nd finger,no,no,no,yes,no,no
HP:0001805,Onychogryphosis,HP:0001816,Thin nail,yes,no,no,yes,no,yes
HP:0010165,Enlarged epiphyses of the toes,HP:0010585,Small epiphyses,yes,no,yes,yes,no,no
HP:0009521,Small epiphysis of the middle phalanx of the 2nd finger,HP:0010260,Enlarged epiphyses of the middle phalanges of the hand,yes,no,no,yes,yes,yes
HP:0003038,Fibular hypoplasia,HP:0003085,Long fibula,yes,no,no,yes,yes,yes
HP:0000272,Malar flattening,HP:0010620,Malar prominence,yes,yes,no,yes,yes,yes
HP:0009222,Small epiphysis of the middle phalanx of the 4th finger,HP:0009396,Enlarged epiphyses of the 4th finger,no,no,no,yes,yes,yes
HP:0000044,Hypogonadotropic hypogonadism,HP:0000815,Hypergonadotropic hypogonadism,yes,yes,yes,yes,no,yes
HP:0010231,Enlarged epiphyses of the phalanges of the hand,HP:0010276,Small epiphyses of the proximal phalanges of the hand,no,yes,yes,no,yes,yes
HP:0010585,Small epiphyses,HP:0100058,Enlarged epiphyses of the 3rd toe,no,no,yes,yes,no,no
HP:0009211,Small epiphysis of the middle phalanx of the 5th finger,HP:0009385,Enlarged epiphyses of the 5th finger,no,no,no,yes,yes,yes
HP:0009496,Small epiphyses of the 2nd finger,HP:0009516,Enlarged epiphysis of the middle phalanx of the 2nd finger,yes,no,no,yes,yes,yes
HP:0033765,Death in late adulthood,HP:0100613,Death in early adulthood,yes,yes,no,yes,yes,yes
HP:0010121,Small epiphyses of the hallux,HP:0010130,Enlarged epiphysis of the proximal phalanx of the hallux,no,no,yes,yes,yes,yes
HP:0002907,Microscopic hematuria,HP:0012587,Macroscopic hematuria,yes,yes,no,no,yes,yes
HP:0009338,Enlarged epiphysis of the distal phalanx of the 3rd finger,HP:0010236,Small epiphyses of the phalanges of the hand,no,no,no,yes,no,yes
HP:0004349,Reduced bone mineral density,HP:0011002,Osteopetrosis,yes,no,no,yes,no,yes
HP:0010116,Enlarged epiphyses of the hallux,HP:0010135,Small epiphysis of the proximal phalanx of the hallux,no,no,yes,no,no,no
HP:0006184,Decreased palmar creases,HP:0006191,Deep palmar crease,yes,no,no,no,yes,yes
HP:0009683,Small epiphysis of the distal phalanx of the thumb,HP:0009689,Enlarged thumb epiphysis,yes,no,no,yes,yes,yes
HP:0009516,Enlarged epiphysis of the middle phalanx of the 2nd finger,HP:0010265,Small epiphyses of the middle phalanges of the hand,no,no,no,no,no,yes
HP:0009206,Enlarged epiphysis of the middle phalanx of the 5th finger,HP:0009390,Small epiphyses of the 5th finger,no,yes,no,yes,yes,yes
HP:0006462,Generalized bone demineralization,HP:0011001,Increased bone mineral density,yes,yes,no,yes,yes,yes
HP:0010585,Small epiphyses,HP:0100047,Enlarged epiphyses of the 2nd toe,no,no,yes,yes,no,no
HP:0009505,Enlarged epiphysis of the distal phalanx of the 2nd finger,HP:0010254,Small epiphyses of the distal phalanges of the hand,no,no,no,yes,no,no
HP:0001849,Foot oligodactyly,HP:0010340,Polydactyly affecting the 4th toe,no,no,no,no,no,yes
HP:0025517,Hypoplastic hippocampus,HP:0100961,Enlarged hippocampus,yes,yes,no,yes,yes,yes
HP:0100047,Enlarged epiphyses of the 2nd toe,HP:0100130,Small epiphysis of the proximal phalanx of the 2nd toe,yes,no,yes,no,no,no
HP:0100085,Small epiphyses of the 5th toe,HP:0100205,Enlarged epiphysis of the distal phalanx of the 5th toe,no,no,no,yes,yes,yes
HP:0009253,Enlarged epiphysis of the distal phalanx of the 4th finger,HP:0010254,Small epiphyses of the distal phalanges of the hand,no,no,no,yes,no,no
HP:0011382,Hypoplasia of the semicircular canal,HP:0011383,Enlarged semicircular canal,yes,no,yes,yes,yes,yes
HP:0000053,Macroorchidism,HP:0008734,Decreased testicular size,yes,no,no,yes,yes,yes
HP:0009510,Small epiphysis of the distal phalanx of the 2nd finger,HP:0010231,Enlarged epiphyses of the phalanges of the hand,no,no,no,yes,no,no
HP:0009381,Short finger,HP:0100807,Long fingers,yes,yes,no,yes,yes,yes
HP:0009667,Enlarged epiphysis of the proximal phalanx of the thumb,HP:0009694,Small thumb epiphysis,yes,no,yes,yes,yes,yes
HP:0003700,Generalized amyotrophy,HP:0003720,Generalized muscle hypertrophy,yes,yes,no,yes,yes,yes
HP:0008401,Onychogryphosis of toenails,HP:0012746,Thin toenail,yes,no,no,yes,no,yes
HP:0025250,Closed comedo,HP:0025251,Open comedo,yes,yes,no,no,yes,yes
HP:0009211,Small epiphysis of the middle phalanx of the 5th finger,HP:0010231,Enlarged epiphyses of the phalanges of the hand,no,no,no,yes,no,no
HP:0009491,Enlarged epiphyses of the 2nd finger,HP:0009521,Small epiphysis of the middle phalanx of the 2nd finger,yes,no,no,yes,yes,no
HP:0000848,Increased circulating renin concentration,HP:0012279,Hyposerinemia,yes,no,no,yes,no,yes
HP:0000103,Polyuria,HP:0011037,Decreased urine output,yes,yes,no,yes,yes,yes
HP:0000938,Osteopenia,HP:0011001,Increased bone mineral density,yes,yes,no,yes,yes,yes
HP:0009343,Small epiphysis of the distal phalanx of the 3rd finger,HP:0009413,Enlarged epiphyses of the 3rd finger,no,yes,no,yes,yes,yes
HP:0009418,Small epiphyses of the 3rd finger,HP:0010260,Enlarged epiphyses of the middle phalanges of the hand,no,no,no,yes,no,yes
HP:0009194,Small epiphyses of the metacarpals,HP:0010580,Enlarged epiphyses,no,no,no,yes,yes,yes
HP:0000237,Small anterior fontanelle,HP:0000260,Wide anterior fontanel,yes,no,yes,yes,yes,yes
HP:0009158,Enlarged epiphysis of the proximal phalanx of the 5th finger,HP:0010276,Small epiphyses of the proximal phalanges of the hand,no,no,no,no,no,yes
HP:0100074,Small epiphyses of the 4th toe,HP:0100172,Enlarged epiphysis of the distal phalanx of the 4th toe,no,no,no,yes,no,yes
HP:0003077,Hyperlipidemia,HP:0003146,Hypocholesterolemia,yes,yes,yes,yes,no,no
HP:0012053,Decreased circulating calcifediol concentration,HP:0031414,High serum calcifediol,yes,yes,no,yes,yes,yes
HP:0009354,Small epiphysis of the proximal phalanx of the 3rd finger,HP:0010271,Enlarged epiphyses of the proximal phalanges of the hand,no,no,no,yes,no,yes
HP:0009491,Enlarged epiphyses of the 2nd finger,HP:0009532,Small epiphysis of the proximal phalanx of the 2nd finger,no,yes,yes,no,no,yes
HP:0000977,Soft skin,HP:0030053,Stiff skin,yes,yes,no,yes,yes,yes
HP:0100052,Small epiphyses of the 2nd toe,HP:0100125,Enlarged epiphysis of the proximal phalanx of the 2nd toe,no,no,no,yes,no,yes
HP:0000158,Macroglossia,HP:0012473,Tongue atrophy,yes,yes,no,yes,yes,yes
HP:0001824,Weight loss,HP:0004324,Increased body weight,yes,yes,no,yes,yes,yes
HP:0000331,Short chin,HP:0400000,Tall chin,no,no,no,yes,yes,yes
HP:0009527,Enlarged epiphysis of the proximal phalanx of the 2nd finger,HP:0010276,Small epiphyses of the proximal phalanges of the hand,no,no,no,yes,no,no
HP:0009324,Enlarged epiphysis of the middle phalanx of the 3rd finger,HP:0009418,Small epiphyses of the 3rd finger,no,yes,no,yes,yes,yes
HP:0003077,Hyperlipidemia,HP:0010981,Hypolipoproteinemia,yes,no,yes,yes,yes,yes
HP:0011284,Short-segment aganglionic megacolon,HP:0011285,Long-segment aganglionic megacolon,no,yes,yes,no,yes,yes
HP:0000633,Decreased lacrimation,HP:0009926,Epiphora,yes,yes,no,yes,yes,yes
HP:0003354,Hyperthreoninemia,HP:0500136,Hypothreoninemia,yes,no,yes,yes,yes,yes
HP:0031843,Abnormally slow thought process,HP:0033844,Racing thoughts,yes,yes,no,yes,yes,yes
HP:0001513,Obesity,HP:0001824,Weight loss,yes,no,no,no,yes,no
HP:0009329,Small epiphysis of the middle phalanx of the 3rd finger,HP:0009413,Enlarged epiphyses of the 3rd finger,yes,yes,no,yes,yes,yes
HP:0009206,Enlarged epiphysis of the middle phalanx of the 5th finger,HP:0010265,Small epiphyses of the middle phalanges of the hand,no,no,no,no,no,yes
HP:0000653,Sparse eyelashes,HP:0011231,Prominent eyelashes,yes,yes,no,yes,yes,yes
HP:0000938,Osteopenia,HP:0005789,Generalized osteosclerosis,yes,no,no,yes,yes,yes
HP:0012279,Hyposerinemia,HP:0033356,Elevated circulating o-phosphoserine concentration,no,no,no,yes,yes,no
HP:0009324,Enlarged epiphysis of the middle phalanx of the 3rd finger,HP:0010265,Small epiphyses of the middle phalanges of the hand,no,no,no,no,no,yes
HP:0012341,Microprolactinoma,HP:0012342,Macroprolactinoma,yes,no,no,no,yes,yes
HP:0010121,Small epiphyses of the hallux,HP:0010580,Enlarged epiphyses,no,no,no,yes,no,yes
