hpo_id1,hpo_term1,hpo_id2,hpo_term2,inverse_verified_by_llm_openai,inverse_verified_by_llm_deepseek,inverse_verified_by_llm_claude,inverse_verified_by_llm_llama,inverse_verified_by_llm_gemini,inverse_verified_by_llm_grok,inverse_verified_by_llm_qwen
HP:0007048,Large basal ganglia,HP:0012697,Small basal ganglia,yes,yes,yes,yes,yes,yes,no
HP:0007083,Hyperactive patellar reflex,HP:0011808,Decreased patellar reflex,yes,yes,yes,yes,yes,yes,no
HP:0007182,Peripheral hypomyelination,HP:0012754,CNS hypermyelination,yes,no,no,no,no,no,no
HP:0007840,Long upper eyelashes,HP:0040054,Short upper eyelashes,yes,yes,yes,yes,yes,yes,no
HP:0008001,Foveal hyperpigmentation,HP:0012643,Foveal hypopigmentation,yes,yes,yes,yes,yes,yes,no
HP:0008401,Onychogryphosis of toenails,HP:0012746,Thin toenail,yes,no,no,yes,no,yes,yes
HP:0008687,Hypoplasia of the prostate,HP:0008711,Benign prostatic hyperplasia,yes,no,no,yes,yes,yes,yes
HP:0008972,Decreased activity of mitochondrial respiratory chain,HP:0040015,Increased activity of mitochondrial respiratory chain,yes,yes,yes,yes,yes,yes,no
HP:0009147,Enlarged epiphysis of the distal phalanx of the 5th finger,HP:0009390,Small epiphyses of the 5th finger,no,no,yes,yes,yes,yes,yes
HP:0009147,Enlarged epiphysis of the distal phalanx of the 5th finger,HP:0009510,Small epiphysis of the distal phalanx of the 2nd finger,no,no,no,no,no,no,yes
HP:0009147,Enlarged epiphysis of the distal phalanx of the 5th finger,HP:0010236,Small epiphyses of the phalanges of the hand,no,no,no,no,no,yes,yes
HP:0009147,Enlarged epiphysis of the distal phalanx of the 5th finger,HP:0010254,Small epiphyses of the distal phalanges of the hand,no,no,no,no,no,no,yes
HP:0009147,Enlarged epiphysis of the distal phalanx of the 5th finger,HP:0010276,Small epiphyses of the proximal phalanges of the hand,no,no,no,no,no,no,yes
HP:0009148,Small epiphysis of the distal phalanx of the 5th finger,HP:0009385,Enlarged epiphyses of the 5th finger,no,no,yes,yes,yes,yes,yes
HP:0009148,Small epiphysis of the distal phalanx of the 5th finger,HP:0009527,Enlarged epiphysis of the proximal phalanx of the 2nd finger,no,no,no,no,no,no,yes
HP:0009148,Small epiphysis of the distal phalanx of the 5th finger,HP:0009678,Enlarged epiphysis of the distal phalanx of the thumb,no,no,no,no,no,no,yes
HP:0009148,Small epiphysis of the distal phalanx of the 5th finger,HP:0010231,Enlarged epiphyses of the phalanges of the hand,no,no,no,yes,no,yes,yes
HP:0009148,Small epiphysis of the distal phalanx of the 5th finger,HP:0010249,Enlarged epiphyses of the distal phalanges of the hand,no,no,no,yes,no,yes,yes
HP:0009158,Enlarged epiphysis of the proximal phalanx of the 5th finger,HP:0009159,Small epiphysis of the proximal phalanx of the 5th finger,yes,yes,yes,yes,yes,yes,no
HP:0009158,Enlarged epiphysis of the proximal phalanx of the 5th finger,HP:0009258,Small epiphysis of the distal phalanx of the 4th finger,no,no,no,no,no,no,yes
HP:0009158,Enlarged epiphysis of the proximal phalanx of the 5th finger,HP:0009390,Small epiphyses of the 5th finger,no,yes,yes,yes,yes,yes,yes
HP:0009158,Enlarged epiphysis of the proximal phalanx of the 5th finger,HP:0009672,Small epiphysis of the proximal phalanx of the thumb,no,no,no,no,no,no,yes
HP:0009158,Enlarged epiphysis of the proximal phalanx of the 5th finger,HP:0010236,Small epiphyses of the phalanges of the hand,no,no,no,no,no,no,yes
HP:0009158,Enlarged epiphysis of the proximal phalanx of the 5th finger,HP:0010276,Small epiphyses of the proximal phalanges of the hand,no,no,no,no,no,no,yes
HP:0009159,Small epiphysis of the proximal phalanx of the 5th finger,HP:0009324,Enlarged epiphysis of the middle phalanx of the 3rd finger,no,no,no,no,no,no,yes
HP:0009159,Small epiphysis of the proximal phalanx of the 5th finger,HP:0009385,Enlarged epiphyses of the 5th finger,no,no,yes,yes,yes,yes,yes
HP:0009159,Small epiphysis of the proximal phalanx of the 5th finger,HP:0010231,Enlarged epiphyses of the phalanges of the hand,no,no,no,yes,no,yes,yes
HP:0009159,Small epiphysis of the proximal phalanx of the 5th finger,HP:0010260,Enlarged epiphyses of the middle phalanges of the hand,no,no,no,no,no,no,yes
HP:0009159,Small epiphysis of the proximal phalanx of the 5th finger,HP:0010271,Enlarged epiphyses of the proximal phalanges of the hand,no,no,no,yes,no,yes,no
HP:0009194,Small epiphyses of the metacarpals,HP:0010580,Enlarged epiphyses,yes,no,no,yes,yes,yes,yes
HP:0009194,Small epiphyses of the metacarpals,HP:0100114,Enlarged epiphysis of the middle phalanx of the 2nd toe,no,no,no,yes,no,no,no
HP:0009194,Small epiphyses of the metacarpals,HP:0100125,Enlarged epiphysis of the proximal phalanx of the 2nd toe,no,no,no,yes,no,no,no
HP:0009194,Small epiphyses of the metacarpals,HP:0100138,Enlarged epiphysis of the distal phalanx of the 3rd toe,no,no,no,yes,no,no,no
HP:0009194,Small epiphyses of the metacarpals,HP:0100149,Enlarged epiphysis of the middle phalanx of the 3rd toe,no,no,no,yes,no,no,no
HP:0009194,Small epiphyses of the metacarpals,HP:0100160,Enlarged epiphysis of the proximal phalanx of the 3rd toe,no,no,no,yes,no,no,no
HP:0009194,Small epiphyses of the metacarpals,HP:0100172,Enlarged epiphysis of the distal phalanx of the 4th toe,no,no,no,yes,no,no,no
HP:0009194,Small epiphyses of the metacarpals,HP:0100183,Enlarged epiphysis of the middle phalanx of the 4th toe,no,no,no,yes,no,no,no
HP:0009194,Small epiphyses of the metacarpals,HP:0100194,Enlarged epiphysis of the proximal phalanx of the 4th toe,no,no,no,yes,no,no,no
HP:0009194,Small epiphyses of the metacarpals,HP:0100216,Enlarged epiphysis of the middle phalanx of the 5th toe,no,no,no,yes,no,no,no
HP:0009194,Small epiphyses of the metacarpals,HP:0100227,Enlarged epiphysis of the proximal phalanx of the 5th toe,no,no,no,yes,no,no,no
HP:0009206,Enlarged epiphysis of the middle phalanx of the 5th finger,HP:0009390,Small epiphyses of the 5th finger,no,no,yes,yes,yes,yes,yes
HP:0009206,Enlarged epiphysis of the middle phalanx of the 5th finger,HP:0009672,Small epiphysis of the proximal phalanx of the thumb,no,no,no,no,no,no,yes
HP:0009206,Enlarged epiphysis of the middle phalanx of the 5th finger,HP:0010265,Small epiphyses of the middle phalanges of the hand,no,no,no,no,no,no,yes
HP:0009206,Enlarged epiphysis of the middle phalanx of the 5th finger,HP:0010276,Small epiphyses of the proximal phalanges of the hand,no,no,no,no,no,no,yes
HP:0009211,Small epiphysis of the middle phalanx of the 5th finger,HP:0009324,Enlarged epiphysis of the middle phalanx of the 3rd finger,no,no,no,no,no,no,yes
HP:0009211,Small epiphysis of the middle phalanx of the 5th finger,HP:0009385,Enlarged epiphyses of the 5th finger,no,no,no,yes,yes,no,yes
HP:0009211,Small epiphysis of the middle phalanx of the 5th finger,HP:0009516,Enlarged epiphysis of the middle phalanx of the 2nd finger,no,no,no,no,no,no,yes
HP:0009211,Small epiphysis of the middle phalanx of the 5th finger,HP:0010231,Enlarged epiphyses of the phalanges of the hand,no,no,no,yes,no,yes,yes
HP:0009211,Small epiphysis of the middle phalanx of the 5th finger,HP:0010260,Enlarged epiphyses of the middle phalanges of the hand,no,no,no,yes,no,yes,yes
HP:0009211,Small epiphysis of the middle phalanx of the 5th finger,HP:0010271,Enlarged epiphyses of the proximal phalanges of the hand,no,no,no,no,no,no,yes
HP:0009217,Enlarged epiphysis of the middle phalanx of the 4th finger,HP:0009401,Small epiphyses of the 4th finger,no,yes,yes,yes,yes,yes,no
HP:0009217,Enlarged epiphysis of the middle phalanx of the 4th finger,HP:0010236,Small epiphyses of the phalanges of the hand,no,no,no,no,no,yes,yes
HP:0009217,Enlarged epiphysis of the middle phalanx of the 4th finger,HP:0010265,Small epiphyses of the middle phalanges of the hand,no,no,no,no,no,yes,yes
HP:0009222,Small epiphysis of the middle phalanx of the 4th finger,HP:0009396,Enlarged epiphyses of the 4th finger,no,no,no,yes,yes,yes,yes
HP:0009222,Small epiphysis of the middle phalanx of the 4th finger,HP:0009689,Enlarged thumb epiphysis,no,no,no,no,no,no,yes
HP:0009222,Small epiphysis of the middle phalanx of the 4th finger,HP:0010231,Enlarged epiphyses of the phalanges of the hand,no,no,no,yes,no,yes,yes
HP:0009222,Small epiphysis of the middle phalanx of the 4th finger,HP:0010260,Enlarged epiphyses of the middle phalanges of the hand,no,no,no,yes,no,yes,yes
HP:0009222,Small epiphysis of the middle phalanx of the 4th finger,HP:0010271,Enlarged epiphyses of the proximal phalanges of the hand,no,no,no,no,no,no,yes
HP:0009253,Enlarged epiphysis of the distal phalanx of the 4th finger,HP:0009258,Small epiphysis of the distal phalanx of the 4th finger,yes,yes,yes,yes,yes,yes,no
HP:0009253,Enlarged epiphysis of the distal phalanx of the 4th finger,HP:0009418,Small epiphyses of the 3rd finger,no,no,no,no,no,no,yes
HP:0009253,Enlarged epiphysis of the distal phalanx of the 4th finger,HP:0009496,Small epiphyses of the 2nd finger,no,no,no,no,no,yes,no
HP:0009253,Enlarged epiphysis of the distal phalanx of the 4th finger,HP:0010236,Small epiphyses of the phalanges of the hand,no,no,no,no,no,no,yes
HP:0009253,Enlarged epiphysis of the distal phalanx of the 4th finger,HP:0010254,Small epiphyses of the distal phalanges of the hand,no,no,no,yes,no,yes,yes
HP:0009258,Small epiphysis of the distal phalanx of the 4th finger,HP:0009505,Enlarged epiphysis of the distal phalanx of the 2nd finger,no,no,no,no,no,no,yes
HP:0009258,Small epiphysis of the distal phalanx of the 4th finger,HP:0009667,Enlarged epiphysis of the proximal phalanx of the thumb,no,no,no,no,no,no,yes
HP:0009258,Small epiphysis of the distal phalanx of the 4th finger,HP:0009678,Enlarged epiphysis of the distal phalanx of the thumb,no,no,no,no,no,no,yes
HP:0009258,Small epiphysis of the distal phalanx of the 4th finger,HP:0010231,Enlarged epiphyses of the phalanges of the hand,no,no,no,yes,no,yes,yes
HP:0009258,Small epiphysis of the distal phalanx of the 4th finger,HP:0010249,Enlarged epiphyses of the distal phalanges of the hand,no,no,no,yes,no,yes,yes
HP:0009264,Enlarged epiphysis of the proximal phalanx of the 4th finger,HP:0009269,Small epiphysis of the proximal phalanx of the 4th finger,yes,yes,yes,yes,yes,yes,no
HP:0009264,Enlarged epiphysis of the proximal phalanx of the 4th finger,HP:0009401,Small epiphyses of the 4th finger,no,yes,yes,yes,yes,yes,yes
HP:0009264,Enlarged epiphysis of the proximal phalanx of the 4th finger,HP:0010236,Small epiphyses of the phalanges of the hand,no,no,no,no,no,yes,yes
HP:0009264,Enlarged epiphysis of the proximal phalanx of the 4th finger,HP:0010276,Small epiphyses of the proximal phalanges of the hand,no,no,no,yes,no,yes,yes
HP:0009269,Small epiphysis of the proximal phalanx of the 4th finger,HP:0009349,Enlarged epiphysis of the proximal phalanx of the 3rd finger,no,no,no,no,no,no,yes
HP:0009269,Small epiphysis of the proximal phalanx of the 4th finger,HP:0009396,Enlarged epiphyses of the 4th finger,no,no,yes,yes,yes,yes,yes
HP:0009269,Small epiphysis of the proximal phalanx of the 4th finger,HP:0009527,Enlarged epiphysis of the proximal phalanx of the 2nd finger,no,no,no,no,no,no,yes
HP:0009269,Small epiphysis of the proximal phalanx of the 4th finger,HP:0009667,Enlarged epiphysis of the proximal phalanx of the thumb,no,no,no,no,no,no,yes
HP:0009269,Small epiphysis of the proximal phalanx of the 4th finger,HP:0010231,Enlarged epiphyses of the phalanges of the hand,no,no,no,yes,no,no,yes
HP:0009269,Small epiphysis of the proximal phalanx of the 4th finger,HP:0010260,Enlarged epiphyses of the middle phalanges of the hand,no,no,no,no,no,no,yes
HP:0009269,Small epiphysis of the proximal phalanx of the 4th finger,HP:0010271,Enlarged epiphyses of the proximal phalanges of the hand,no,no,no,yes,no,yes,yes
HP:0009324,Enlarged epiphysis of the middle phalanx of the 3rd finger,HP:0009401,Small epiphyses of the 4th finger,no,no,no,no,no,no,yes
HP:0009324,Enlarged epiphysis of the middle phalanx of the 3rd finger,HP:0009418,Small epiphyses of the 3rd finger,no,no,yes,yes,yes,yes,yes
HP:0009324,Enlarged epiphysis of the middle phalanx of the 3rd finger,HP:0010236,Small epiphyses of the phalanges of the hand,no,no,no,no,no,no,yes
HP:0009324,Enlarged epiphysis of the middle phalanx of the 3rd finger,HP:0010265,Small epiphyses of the middle phalanges of the hand,no,yes,no,no,no,yes,no
HP:0009329,Small epiphysis of the middle phalanx of the 3rd finger,HP:0009413,Enlarged epiphyses of the 3rd finger,yes,no,yes,yes,yes,yes,yes
HP:0009329,Small epiphysis of the middle phalanx of the 3rd finger,HP:0009491,Enlarged epiphyses of the 2nd finger,no,no,no,no,no,no,yes
HP:0009329,Small epiphysis of the middle phalanx of the 3rd finger,HP:0010231,Enlarged epiphyses of the phalanges of the hand,no,no,no,yes,no,yes,no
HP:0009329,Small epiphysis of the middle phalanx of the 3rd finger,HP:0010260,Enlarged epiphyses of the middle phalanges of the hand,yes,no,no,yes,yes,yes,no
HP:0009338,Enlarged epiphysis of the distal phalanx of the 3rd finger,HP:0009343,Small epiphysis of the distal phalanx of the 3rd finger,yes,yes,yes,yes,yes,yes,no
HP:0009338,Enlarged epiphysis of the distal phalanx of the 3rd finger,HP:0009418,Small epiphyses of the 3rd finger,yes,no,yes,yes,yes,yes,yes
