hpo_id1,hpo_term1,hpo_id2,hpo_term2,inverse_verified_by_llm
HP:0002490,Increased CSF lactate,HP:0030086,Reduced CSF lactate,yes
HP:0002509,Limb hypertonia,HP:0012389,Appendicular hypotonia,yes
HP:0002516,Increased intracranial pressure,HP:0012641,Decreased intracranial pressure,yes
HP:0002562,Low-set nipples,HP:6000229,High-set nipples,yes
HP:0002594,Pancreatic hypoplasia,HP:0006277,Pancreatic hyperplasia,yes
HP:0002677,Small foramen magnum,HP:0002700,Large foramen magnum,yes
HP:0002684,Thickened calvaria,HP:0010539,Thin calvarium,yes
HP:0002690,Large sella turcica,HP:0010538,Small sella turcica,yes
HP:0002714,Downturned corners of mouth,HP:0010805,Upturned corners of mouth,yes
HP:0002716,Lymphadenopathy,HP:0002732,Lymph node hypoplasia,yes
HP:0002720,Decreased circulating IgA concentration,HP:0003261,Increased circulating IgA concentration,yes
HP:0002731,Decreased lymphocyte apoptosis,HP:0030887,Increased lymphocyte apoptosis,yes
HP:0002789,Tachypnea,HP:0046507,Bradypnea,yes
HP:0002791,Hypoventilation,HP:0002883,Hyperventilation,yes
HP:0002850,Decreased circulating total IgM,HP:0003496,Increased circulating IgM level,yes
HP:0002901,Hypocalcemia,HP:0003072,Hypercalcemia,yes
HP:0002902,Hyponatremia,HP:0003228,Hypernatremia,yes
HP:0002904,Hyperbilirubinemia,HP:0033480,Hypobilirubinemia,yes
HP:0002907,Microscopic hematuria,HP:0012587,Macroscopic hematuria,yes
HP:0002914,Hyperchloriduria,HP:0012601,Hypochloriduria,yes
HP:0002917,Hypomagnesemia,HP:0002918,Hypermagnesemia,yes
HP:0002922,Increased CSF protein concentration,HP:0025457,Decreased CSF protein concentration,yes
HP:0002938,Lumbar hyperlordosis,HP:0034770,Lumbar hypolordosis,yes
HP:0003022,Hypoplasia of the ulna,HP:0003988,Long ulna,no
HP:0003038,Fibular hypoplasia,HP:0003085,Long fibula,no
HP:0003073,Hypoalbuminemia,HP:0012117,Hyperalbuminemia,yes
HP:0003077,Hyperlipidemia,HP:0045014,Hypolipidemia,yes
HP:0003109,Hyperphosphaturia,HP:0012365,Hypophosphaturia,yes
HP:0003113,Hypochloremia,HP:0011423,Hyperchloremia,yes
HP:0003124,Hypercholesterolemia,HP:0003146,Hypocholesterolemia,yes
HP:0003125,Reduced factor VIII activity,HP:0030977,Increased factor VIII activity,yes
HP:0003138,Increased blood urea nitrogen,HP:0031969,Reduced blood urea nitrogen,yes
HP:0003141,Increased LDL cholesterol concentration,HP:0003563,Decreased LDL cholesterol concentration,yes
HP:0003141,Increased LDL cholesterol concentration,HP:0012184,Increased HDL cholesterol concentration,no
HP:0003189,Long nose,HP:0003196,Short nose,yes
HP:0003194,Short nasal bridge,HP:0033142,Long nasal bridge,yes
HP:0003202,Skeletal muscle atrophy,HP:0003712,Skeletal muscle hypertrophy,yes
HP:0003217,Hyperglutaminemia,HP:0500147,Hypoglutaminemia,yes
HP:0003231,Hypertyrosinemia,HP:0500133,Hypotyrosinemia,yes
HP:0003233,Decreased HDL cholesterol concentration,HP:0003563,Decreased LDL cholesterol concentration,no
HP:0003233,Decreased HDL cholesterol concentration,HP:0012184,Increased HDL cholesterol concentration,yes
HP:0003235,Hypermethioninemia,HP:0003658,Hypomethioninemia,yes
HP:0003259,Elevated circulating creatinine concentration,HP:0012101,Decreased serum creatinine,no
HP:0003281,Increased circulating ferritin concentration,HP:0012343,Decreased circulating ferritin concentration,yes
HP:0003282,Decreased circulating alkaline phosphatase activity,HP:0003155,Elevated circulating alkaline phosphatase concentration,no
HP:0003292,Decreased serum leptin,HP:0031793,Increased serum leptin,yes
HP:0003348,Hyperalaninemia,HP:0500154,Hypoalaninemia,yes
HP:0003351,Decreased circulating renin concentration,HP:0000848,Increased circulating renin concentration,yes
HP:0003354,Hyperthreoninemia,HP:0500136,Hypothreoninemia,yes
HP:0003359,Decreased urinary sulfate,HP:0012613,Increased urinary sulfate,yes
HP:0003371,Enlargement of the proximal femoral epiphysis,HP:0003090,Hypoplasia of the capital femoral epiphysis,no
HP:0003387,Decreased number of large peripheral myelinated nerve fibers,HP:0007249,Decreased number of small peripheral myelinated nerve fibers,no
HP:0003429,CNS hypomyelination,HP:0012754,CNS hypermyelination,yes
HP:0003551,Difficulty climbing stairs,HP:0033235,Difficulty descending stairs,no
HP:0003565,Elevated erythrocyte sedimentation rate,HP:0025022,Decreased erythrocyte sedimentation rate,yes
HP:0003676,Progressive,HP:0003680,Nonprogressive,yes
HP:0003700,Generalized amyotrophy,HP:0003720,Generalized muscle hypertrophy,yes
HP:0003745,Sporadic,HP:0031796,Recurrent,yes
HP:0003785,Decreased CSF homovanillic acid concentration,HP:0034201,Increased CSF homovanillic acid concentration,yes
HP:0003829,Typified by incomplete penetrance,HP:0034950,Typified by complete penetrance,yes
HP:0003898,Large humeral epiphyses,HP:0003900,Small humeral epiphyses,yes
HP:0004005,Large radial epiphyses,HP:0004010,Small radial epiphyses,yes
HP:0004237,Large carpal bones,HP:0001498,Carpal bone hypoplasia,no
HP:0004279,Short palm,HP:0011302,Long palm,yes
HP:0004313,Decreased circulating antibody concentration,HP:0010702,Increased circulating antibody concentration,yes
HP:0004315,Decreased circulating IgG concentration,HP:0003237,Increased circulating IgG concentration,yes
HP:0004319,Decreased circulating aldosterone concentration,HP:0000859,Increased circulating aldosterone concentration,yes
HP:0004322,Short stature,HP:0000098,Tall stature,yes
HP:0004325,Decreased body weight,HP:0004324,Increased body weight,yes
HP:0004330,Increased skull ossification,HP:0004331,Decreased skull ossification,yes
HP:0004349,Reduced bone mineral density,HP:0011001,Increased bone mineral density,yes
HP:0004369,Decreased circulating purine concentration,HP:0004368,Increased circulating purine concentration,yes
HP:0004469,Chronic bronchitis,HP:0012388,Acute bronchitis,yes
HP:0004488,Macrocephaly at birth,HP:0011451,Primary microcephaly,no
HP:0004528,Generalized hypotrichosis,HP:0004554,Generalized hypertrichosis,yes
HP:0004660,Hypoplasia of facial musculature,HP:0012892,Facial muscle hypertrophy,yes
HP:0004729,Acute tubulointerstitial nephritis,HP:0004743,Chronic tubulointerstitial nephritis,no
HP:0004808,Acute myeloid leukemia,HP:0005506,Chronic myelogenous leukemia,no
HP:0004820,Acute myelomonocytic leukemia,HP:0012325,Chronic myelomonocytic leukemia,no
HP:0004821,Hypersegmentation of neutrophil nuclei,HP:0011447,Hyposegmentation of neutrophil nuclei,yes
HP:0004826,Folate-unresponsive megaloblastic anemia,HP:0004851,Folate-responsive megaloblastic anemia,yes
HP:0004879,Intermittent hyperventilation,HP:0004881,Episodic hypoventilation,no
HP:0004905,Reduced circulating vitamin A concentration,HP:4000212,Increased circulating vitamin A concentration,yes
HP:0004923,Hyperphenylalaninemia,HP:0500141,Hypophenylalaninemia,yes
HP:0004966,Medial calcification of large arteries,HP:0012458,Medial calcification of small arteries,no
HP:0005165,Shortened PR interval,HP:0012248,Prolonged PR interval,yes
HP:0005170,Complete heart block with broad QRS complexes,HP:0005178,Complete heart block with narrow QRS complexes,no
HP:0005272,Prominent nasolabial fold,HP:0010801,Underdeveloped nasolabial fold,yes
HP:0005274,Prominent nasal tip,HP:0005278,Hypoplastic nasal tip,yes
HP:0005310,Large vessel vasculitis,HP:0011944,Small vessel vasculitis,yes
HP:0005323,Hemifacial hypertrophy,HP:0011331,Hemifacial atrophy,yes
HP:0005445,Enlarged posterior fossa,HP:0040010,Small posterior fossa,yes
HP:0005479,Decreased circulating IgE concentration,HP:0003212,Increased circulating IgE concentration,yes
HP:0005484,Secondary microcephaly,HP:0005490,Postnatal macrocephaly,no
HP:0005520,Chronic disseminated intravascular coagulation,HP:0011880,Acute disseminated intravascular coagulation,no
HP:0005528,Bone marrow hypocellularity,HP:0031020,Bone marrow hypercellularity,yes
HP:0005537,Decreased mean platelet volume,HP:0011877,Increased mean platelet volume,yes
HP:0005550,Chronic lymphatic leukemia,HP:0006721,Acute lymphoblastic leukemia,no
HP:0005585,Spotty hyperpigmentation,HP:0005590,Spotty hypopigmentation,yes
HP:0005819,Short middle phalanx of finger,HP:0012298,Long middle phalanx of finger,yes
HP:0005961,Hypoargininemia,HP:0500153,Hyperargininemia,yes
HP:0005990,Thyroid hypoplasia,HP:0008249,Thyroid hyperplasia,yes
HP:0006127,Long proximal phalanx of finger,HP:0010241,Short proximal phalanx of finger,yes
HP:0006155,Long phalanx of finger,HP:0009803,Short phalanx of finger,yes
HP:0006184,Decreased palmar creases,HP:0006191,Deep palmar crease,no
HP:0006267,Large placenta,HP:0006266,Small placenta,yes
HP:0006329,Alveolar process hypoplasia,HP:0009085,Alveolar ridge overgrowth,no
HP:0006336,Short dental root,HP:0033189,Radiculomegaly,no
HP:0006429,Broad femoral neck,HP:0008819,Narrow femoral neck,yes
HP:0006554,Acute hepatic failure,HP:0100626,Chronic hepatic failure,yes
HP:0007048,Large basal ganglia,HP:0012697,Small basal ganglia,yes
HP:0007074,Thick corpus callosum,HP:0033725,Thin corpus callosum,yes
HP:0007103,Hypointensity of cerebral white matter on MRI,HP:0030890,Hyperintensity of cerebral white matter on MRI,yes
HP:0007149,Distal upper limb amyotrophy,HP:0040267,Distal upper limb muscle hypertrophy,no
HP:0007182,Peripheral hypomyelination,HP:0030173,Peripheral hypermyelination,yes
HP:0007183,Focal T2 hyperintense basal ganglia lesion,HP:0012752,Focal T2 hypointense basal ganglia lesion,yes
HP:0007410,Palmoplantar hyperhidrosis,HP:0034012,Palmoplantar hypohidrosis,yes
HP:0007440,Generalized hyperpigmentation,HP:0007513,Generalized hypopigmentation,yes
HP:0007535,Hypopigmented streaks,HP:0007572,Hyperpigmented streaks,yes
HP:0007803,Monochromacy,HP:0007939,Blue cone monochromacy,no
HP:0007840,Long upper eyelashes,HP:0040054,Short upper eyelashes,yes
HP:0007894,Hypopigmentation of the fundus,HP:0011512,Hyperpigmentation of the fundus,yes
HP:0007975,Hypometric horizontal saccades,HP:0032013,Hypermetric horizontal saccades,yes
HP:0007988,Macular hypopigmentation,HP:0011509,Macular hyperpigmentation,yes
HP:0008001,Foveal hyperpigmentation,HP:0012643,Foveal hypopigmentation,yes
HP:0008163,Decreased circulating cortisol level,HP:0003118,Increased circulating cortisol level,yes
HP:0008165,Decreased helper T cell proportion,HP:0500264,Increased helper T cell proportion,yes
HP:0008179,Decreased Arden ratio of electrooculogram,HP:0031155,Increased Arden ratio of electrooculogram,yes
HP:0008182,Adrenocortical hypoplasia,HP:6000152,Adrenocortical hyperplasia,yes
HP:0008214,Decreased serum estradiol,HP:0025134,Increased serum estradiol,yes
HP:0008233,Decreased circulating progesterone,HP:0031216,Increased circulating progesterone,yes
HP:0008244,Congenital adrenal hypoplasia,HP:0008258,Congenital adrenal hyperplasia,yes
HP:0008348,Decreased circulating IgG2 concentration,HP:0032299,Increased circulating IgG2 level,yes
HP:0008358,Hyperprolinemia,HP:0500139,Hypoprolinemia,yes
HP:0008593,Prominent antitragus,HP:0011251,Underdeveloped antitragus,yes
HP:0008665,Clitoral hypertrophy,HP:0000060,Clitoral hypoplasia,yes
HP:0008818,Large iliac wing,HP:0002866,Hypoplastic iliac wing,yes
HP:0008948,Proximal upper limb amyotrophy,HP:0040266,Proximal upper limb muscle hypertrophy,no
HP:0008972,Decreased activity of mitochondrial respiratory chain,HP:0040015,Increased activity of mitochondrial respiratory chain,yes
HP:0009060,Scapular muscle atrophy,HP:0012895,Scapular muscle hypertrophy,yes
HP:0009147,Enlarged epiphysis of the distal phalanx of the 5th finger,HP:0009148,Small epiphysis of the distal phalanx of the 5th finger,yes
HP:0009158,Enlarged epiphysis of the proximal phalanx of the 5th finger,HP:0009159,Small epiphysis of the proximal phalanx of the 5th finger,yes
HP:0009206,Enlarged epiphysis of the middle phalanx of the 5th finger,HP:0009211,Small epiphysis of the middle phalanx of the 5th finger,yes
HP:0009217,Enlarged epiphysis of the middle phalanx of the 4th finger,HP:0009222,Small epiphysis of the middle phalanx of the 4th finger,yes
HP:0009253,Enlarged epiphysis of the distal phalanx of the 4th finger,HP:0009258,Small epiphysis of the distal phalanx of the 4th finger,yes
HP:0009264,Enlarged epiphysis of the proximal phalanx of the 4th finger,HP:0009269,Small epiphysis of the proximal phalanx of the 4th finger,yes
HP:0009324,Enlarged epiphysis of the middle phalanx of the 3rd finger,HP:0009329,Small epiphysis of the middle phalanx of the 3rd finger,yes
HP:0009338,Enlarged epiphysis of the distal phalanx of the 3rd finger,HP:0009343,Small epiphysis of the distal phalanx of the 3rd finger,yes
HP:0009349,Enlarged epiphysis of the proximal phalanx of the 3rd finger,HP:0009354,Small epiphysis of the proximal phalanx of the 3rd finger,yes
HP:0009385,Enlarged epiphyses of the 5th finger,HP:0009390,Small epiphyses of the 5th finger,yes
HP:0009396,Enlarged epiphyses of the 4th finger,HP:0009401,Small epiphyses of the 4th finger,yes
HP:0009413,Enlarged epiphyses of the 3rd finger,HP:0009418,Small epiphyses of the 3rd finger,yes
HP:0009491,Enlarged epiphyses of the 2nd finger,HP:0009496,Small epiphyses of the 2nd finger,yes
HP:0009505,Enlarged epiphysis of the distal phalanx of the 2nd finger,HP:0009510,Small epiphysis of the distal phalanx of the 2nd finger,yes
HP:0009516,Enlarged epiphysis of the middle phalanx of the 2nd finger,HP:0009521,Small epiphysis of the middle phalanx of the 2nd finger,yes
HP:0009527,Enlarged epiphysis of the proximal phalanx of the 2nd finger,HP:0009532,Small epiphysis of the proximal phalanx of the 2nd finger,yes
HP:0009667,Enlarged epiphysis of the proximal phalanx of the thumb,HP:0009672,Small epiphysis of the proximal phalanx of the thumb,yes
HP:0009678,Enlarged epiphysis of the distal phalanx of the thumb,HP:0009683,Small epiphysis of the distal phalanx of the thumb,yes
HP:0009689,Enlarged thumb epiphysis,HP:0009694,Small thumb epiphysis,yes
HP:0009746,Thick nasal septum,HP:0009936,Narrow nasal septum,no
HP:0009748,Large earlobe,HP:0000385,Small earlobe,yes
HP:0009778,Short thumb,HP:0032524,Long thumb,yes
HP:0009804,Tooth agenesis,HP:0011069,Supernumerary tooth,no
HP:0009882,Short distal phalanx of finger,HP:0012299,Long distal phalanx of finger,no
HP:0009924,Aplasia/Hypoplasia involving the nose,HP:0000448,Prominent nose,no
HP:0009931,Enlarged naris,HP:0009933,Narrow naris,yes
HP:0010018,Enlarged epiphysis of the 1st metacarpal,HP:0010023,Small epiphysis of the 1st metacarpal,yes
HP:0010049,Short metacarpal,HP:0010493,Long metacarpals,yes
HP:0010116,Enlarged epiphyses of the hallux,HP:0010121,Small epiphyses of the hallux,yes
HP:0010130,Enlarged epiphysis of the proximal phalanx of the hallux,HP:0010135,Small epiphysis of the proximal phalanx of the hallux,yes
HP:0010141,Enlarged epiphysis of the distal phalanx of the hallux,HP:0010146,Small epiphysis of the distal phalanx of the hallux,yes
HP:0010152,Enlarged epiphysis of the 1st metatarsal,HP:0010157,Small epiphysis of the 1st metatarsal,yes
HP:0010165,Enlarged epiphyses of the toes,HP:0010170,Small epiphyses of the toes,yes
HP:0010231,Enlarged epiphyses of the phalanges of the hand,HP:0010236,Small epiphyses of the phalanges of the hand,yes
HP:0010249,Enlarged epiphyses of the distal phalanges of the hand,HP:0010254,Small epiphyses of the distal phalanges of the hand,yes
HP:0010260,Enlarged epiphyses of the middle phalanges of the hand,HP:0010265,Small epiphyses of the middle phalanges of the hand,yes
HP:0010271,Enlarged epiphyses of the proximal phalanges of the hand,HP:0010276,Small epiphyses of the proximal phalanges of the hand,yes
HP:0010306,Short thorax,HP:0100818,Long thorax,yes
HP:0010450,Esophageal stenosis,HP:6000589,Esophageal dilation,no
HP:0010514,Hyperpituitarism,HP:0040075,Hypopituitarism,yes
HP:0010545,Downbeat nystagmus,HP:0011477,Upbeat nystagmus,yes
HP:0010570,Low maternal circulating alpha-fetoprotein concentration,HP:0011432,Elevated maternal circulating alpha-fetoprotein concentration,yes
HP:0010580,Enlarged epiphyses,HP:0010585,Small epiphyses,yes
HP:0010650,Hypoplasia of the premaxilla,HP:0430029,Hyperplasia of the premaxilla,yes
HP:0010669,Hypoplasia of the zygomatic bone,HP:0012370,Prominence of the zygomatic bone,yes
HP:0010763,Low insertion of columella,HP:0012807,High insertion of columella,yes
HP:0010779,Large pelvis bone,HP:0008839,Hypoplastic pelvis,yes
HP:0010790,Hypoplasia of the Leydig cells,HP:0010791,Hyperplasia of the Leydig cells,yes
HP:0010809,Broad uvula,HP:0010811,Narrow uvula,yes
HP:0010810,Long uvula,HP:0010812,Short uvula,yes
HP:0010837,Decreased circulating ceruloplasmin concentration,HP:0033145,Increased circulating ceruloplasmin concentration,yes
HP:0010860,Complete breech presentation,HP:0010861,Incomplete breech presentation,yes
HP:0010906,Hyperhistidinemia,HP:0500145,Hypohistidinemia,yes
HP:0010910,Hypervalinemia,HP:0500132,Hypovalinemia,yes
HP:0010911,Hyperleucinemia,HP:0500143,Hypoleucinemia,yes
HP:0010913,Hyperisoleucinemia,HP:0500144,Hypoisoleucinemia,yes
HP:0010964,Abnormal circulating long-chain fatty-acid concentration,HP:0033147,Abnormal circulating short-chain fatty-acid concentration,no
HP:0010976,B lymphocytopenia,HP:0005404,Increased B cell count,yes
HP:0010980,Hyperlipoproteinemia,HP:0010981,Hypolipoproteinemia,yes
HP:0011009,Acute,HP:0011010,Chronic,yes
HP:0011037,Decreased urine output,HP:0000103,Polyuria,no
HP:0011105,Hypervolemia,HP:0011106,Hypovolemia,yes
HP:0011173,Focal behavior arrest seizure,HP:0011174,Focal hyperkinetic seizure,yes
HP:0011238,Prominent inferior crus of antihelix,HP:0011239,Underdeveloped inferior crus of antihelix,no
HP:0011246,Underdeveloped superior crus of antihelix,HP:0011247,Prominent superior crus of antihelix,no
HP:0011271,Prominent tragus,HP:0011272,Underdeveloped tragus,yes
HP:0011284,Short-segment aganglionic megacolon,HP:0011285,Long-segment aganglionic megacolon,yes
HP:0011340,Incomplete cleft of the upper lip,HP:5201009,Complete cleft of the upper lip,no
HP:0011383,Enlarged semicircular canal,HP:0011382,Hypoplasia of the semicircular canal,no
HP:0011433,High maternal circulating chorionic gonadotropin concentration,HP:0011434,Low maternal circulating chorionic gonadotropin concentration,yes
HP:0011775,Thyroid macrofollicular adenoma,HP:0011776,Thyroid microfollicular adenoma,no
HP:0011800,Midface retrusion,HP:0012371,Hyperplasia of midface,no
HP:0011858,Reduced factor IX activity,HP:0033061,Increased factor IX activity,yes
