hpo_id1,hpo_term1,hpo_id2,hpo_term2,inverse_verified_by_llm_openai,inverse_verified_by_llm_deepseek,inverse_verified_by_llm_claude,inverse_verified_by_llm_llama,inverse_verified_by_llm_gemini,inverse_verified_by_llm_grok,inverse_verified_by_llm_qwen
HP:0003565,Elevated erythrocyte sedimentation rate,HP:0025022,Decreased erythrocyte sedimentation rate,yes,yes,yes,yes,yes,yes,no
HP:0003676,Progressive,HP:0003680,Nonprogressive,yes,no,yes,yes,yes,yes,yes
HP:0003745,Sporadic,HP:0031796,Recurrent,no,no,no,no,yes,yes,yes
HP:0003785,Decreased CSF homovanillic acid concentration,HP:0034201,Increased CSF homovanillic acid concentration,yes,yes,yes,yes,yes,yes,no
HP:0003829,Typified by incomplete penetrance,HP:0034950,Typified by complete penetrance,no,yes,no,no,yes,yes,yes
HP:0003898,Large humeral epiphyses,HP:0003900,Small humeral epiphyses,yes,yes,yes,yes,yes,yes,no
HP:0004005,Large radial epiphyses,HP:0004010,Small radial epiphyses,yes,yes,yes,yes,yes,yes,no
HP:0004279,Short palm,HP:0011302,Long palm,yes,yes,yes,yes,yes,yes,no
HP:0004313,Decreased circulating antibody concentration,HP:0010702,Increased circulating antibody concentration,yes,yes,yes,yes,yes,yes,no
HP:0004315,Decreased circulating IgG concentration,HP:0003237,Increased circulating IgG concentration,yes,yes,yes,yes,yes,yes,no
HP:0004319,Decreased circulating aldosterone concentration,HP:0000859,Increased circulating aldosterone concentration,yes,yes,yes,yes,yes,yes,no
HP:0004349,Reduced bone mineral density,HP:0011001,Increased bone mineral density,yes,yes,yes,yes,yes,yes,no
HP:0004369,Decreased circulating purine concentration,HP:0004368,Increased circulating purine concentration,yes,yes,yes,yes,yes,yes,no
HP:0004469,Chronic bronchitis,HP:0012388,Acute bronchitis,no,no,no,no,no,no,yes
HP:0004488,Macrocephaly at birth,HP:0011451,Primary microcephaly,yes,yes,no,yes,yes,yes,yes
HP:0004660,Hypoplasia of facial musculature,HP:0012892,Facial muscle hypertrophy,yes,no,yes,yes,yes,yes,no
HP:0004729,Acute tubulointerstitial nephritis,HP:0004743,Chronic tubulointerstitial nephritis,no,no,yes,no,no,no,no
HP:0004808,Acute myeloid leukemia,HP:0005506,Chronic myelogenous leukemia,no,no,no,no,no,yes,no
HP:0004820,Acute myelomonocytic leukemia,HP:0012325,Chronic myelomonocytic leukemia,no,yes,no,no,no,yes,yes
HP:0004826,Folate-unresponsive megaloblastic anemia,HP:0004851,Folate-responsive megaloblastic anemia,yes,no,yes,yes,no,yes,yes
HP:0004879,Intermittent hyperventilation,HP:0004881,Episodic hypoventilation,yes,no,yes,yes,yes,yes,yes
HP:0004905,Reduced circulating vitamin A concentration,HP:4000212,Increased circulating vitamin A concentration,yes,yes,yes,yes,yes,yes,no
HP:0005165,Shortened PR interval,HP:0012248,Prolonged PR interval,yes,yes,yes,yes,yes,yes,no
HP:0005310,Large vessel vasculitis,HP:0011944,Small vessel vasculitis,no,no,no,no,no,yes,yes
HP:0005323,Hemifacial hypertrophy,HP:0011331,Hemifacial atrophy,yes,yes,yes,yes,yes,yes,no
HP:0005484,Secondary microcephaly,HP:0005490,Postnatal macrocephaly,yes,yes,no,yes,no,yes,yes
HP:0005520,Chronic disseminated intravascular coagulation,HP:0011880,Acute disseminated intravascular coagulation,no,no,yes,no,no,yes,yes
HP:0005528,Bone marrow hypocellularity,HP:0031020,Bone marrow hypercellularity,yes,yes,yes,yes,yes,yes,no
HP:0005537,Decreased mean platelet volume,HP:0011877,Increased mean platelet volume,yes,yes,yes,yes,yes,yes,no
HP:0005550,Chronic lymphatic leukemia,HP:0006721,Acute lymphoblastic leukemia,no,no,no,no,no,yes,no
HP:0005990,Thyroid hypoplasia,HP:0008249,Thyroid hyperplasia,yes,yes,yes,yes,yes,yes,no
HP:0006184,Decreased palmar creases,HP:0006191,Deep palmar crease,no,no,no,yes,yes,yes,no
HP:0006267,Large placenta,HP:0006266,Small placenta,yes,yes,yes,yes,yes,yes,no
HP:0006329,Alveolar process hypoplasia,HP:0009085,Alveolar ridge overgrowth,yes,no,yes,yes,yes,yes,yes
HP:0006336,Short dental root,HP:0033189,Radiculomegaly,yes,no,yes,yes,yes,yes,yes
HP:0006554,Acute hepatic failure,HP:0100626,Chronic hepatic failure,no,no,no,no,no,yes,no
HP:0007149,Distal upper limb amyotrophy,HP:0040267,Distal upper limb muscle hypertrophy,yes,no,yes,yes,no,yes,yes
HP:0007183,Focal T2 hyperintense basal ganglia lesion,HP:0012752,Focal T2 hypointense basal ganglia lesion,yes,yes,yes,yes,yes,yes,no
HP:0007894,Hypopigmentation of the fundus,HP:0011512,Hyperpigmentation of the fundus,yes,yes,yes,yes,yes,yes,no
HP:0008233,Decreased circulating progesterone,HP:0031216,Increased circulating progesterone,yes,yes,yes,yes,yes,yes,no
HP:0008948,Proximal upper limb amyotrophy,HP:0040266,Proximal upper limb muscle hypertrophy,yes,yes,yes,yes,yes,yes,no
HP:0008972,Decreased activity of mitochondrial respiratory chain,HP:0040015,Increased activity of mitochondrial respiratory chain,yes,yes,yes,yes,yes,yes,no
HP:0009147,Enlarged epiphysis of the distal phalanx of the 5th finger,HP:0009148,Small epiphysis of the distal phalanx of the 5th finger,yes,yes,yes,yes,yes,yes,no
HP:0009158,Enlarged epiphysis of the proximal phalanx of the 5th finger,HP:0009159,Small epiphysis of the proximal phalanx of the 5th finger,yes,yes,yes,yes,yes,yes,no
HP:0009217,Enlarged epiphysis of the middle phalanx of the 4th finger,HP:0009222,Small epiphysis of the middle phalanx of the 4th finger,yes,yes,yes,yes,yes,yes,no
HP:0009324,Enlarged epiphysis of the middle phalanx of the 3rd finger,HP:0009329,Small epiphysis of the middle phalanx of the 3rd finger,yes,yes,yes,yes,yes,yes,no
HP:0009338,Enlarged epiphysis of the distal phalanx of the 3rd finger,HP:0009343,Small epiphysis of the distal phalanx of the 3rd finger,yes,yes,yes,yes,yes,yes,no
HP:0009349,Enlarged epiphysis of the proximal phalanx of the 3rd finger,HP:0009354,Small epiphysis of the proximal phalanx of the 3rd finger,yes,yes,yes,yes,yes,yes,no
HP:0009385,Enlarged epiphyses of the 5th finger,HP:0009390,Small epiphyses of the 5th finger,yes,yes,yes,yes,yes,yes,no
HP:0009396,Enlarged epiphyses of the 4th finger,HP:0009401,Small epiphyses of the 4th finger,yes,yes,yes,yes,yes,yes,no
HP:0009413,Enlarged epiphyses of the 3rd finger,HP:0009418,Small epiphyses of the 3rd finger,yes,yes,yes,yes,yes,yes,no
HP:0009491,Enlarged epiphyses of the 2nd finger,HP:0009496,Small epiphyses of the 2nd finger,yes,yes,yes,yes,yes,yes,no
HP:0009516,Enlarged epiphysis of the middle phalanx of the 2nd finger,HP:0009521,Small epiphysis of the middle phalanx of the 2nd finger,yes,yes,yes,yes,yes,yes,no
HP:0009678,Enlarged epiphysis of the distal phalanx of the thumb,HP:0009683,Small epiphysis of the distal phalanx of the thumb,yes,yes,yes,yes,yes,yes,no
HP:0009689,Enlarged thumb epiphysis,HP:0009694,Small thumb epiphysis,yes,yes,yes,yes,yes,yes,no
HP:0009746,Thick nasal septum,HP:0009936,Narrow nasal septum,yes,yes,yes,yes,yes,no,yes
HP:0009748,Large earlobe,HP:0000385,Small earlobe,yes,yes,yes,yes,yes,yes,no
HP:0009778,Short thumb,HP:0032524,Long thumb,yes,yes,yes,yes,yes,yes,no
HP:0009804,Tooth agenesis,HP:0011069,Supernumerary tooth,yes,yes,no,no,yes,yes,no
HP:0009882,Short distal phalanx of finger,HP:0012299,Long distal phalanx of finger,yes,yes,yes,yes,yes,yes,no
HP:0009924,Aplasia/Hypoplasia involving the nose,HP:0000448,Prominent nose,no,no,no,yes,no,yes,no
HP:0009931,Enlarged naris,HP:0009933,Narrow naris,yes,yes,yes,yes,yes,yes,no
HP:0010018,Enlarged epiphysis of the 1st metacarpal,HP:0010023,Small epiphysis of the 1st metacarpal,yes,yes,yes,yes,yes,yes,no
HP:0010049,Short metacarpal,HP:0010493,Long metacarpals,yes,no,no,yes,yes,yes,yes
HP:0010116,Enlarged epiphyses of the hallux,HP:0010121,Small epiphyses of the hallux,yes,yes,yes,yes,yes,yes,no
HP:0010130,Enlarged epiphysis of the proximal phalanx of the hallux,HP:0010135,Small epiphysis of the proximal phalanx of the hallux,yes,yes,yes,yes,yes,yes,no
HP:0010141,Enlarged epiphysis of the distal phalanx of the hallux,HP:0010146,Small epiphysis of the distal phalanx of the hallux,yes,yes,yes,yes,yes,yes,no
HP:0010152,Enlarged epiphysis of the 1st metatarsal,HP:0010157,Small epiphysis of the 1st metatarsal,yes,yes,yes,yes,yes,yes,no
HP:0010165,Enlarged epiphyses of the toes,HP:0010170,Small epiphyses of the toes,yes,yes,yes,yes,yes,yes,no
HP:0010306,Short thorax,HP:0100818,Long thorax,yes,yes,yes,yes,yes,yes,no
HP:0010545,Downbeat nystagmus,HP:0011477,Upbeat nystagmus,yes,yes,yes,yes,no,yes,yes
HP:0010570,Low maternal circulating alpha-fetoprotein concentration,HP:0011432,Elevated maternal circulating alpha-fetoprotein concentration,yes,yes,yes,yes,yes,yes,no
HP:0010580,Enlarged epiphyses,HP:0010585,Small epiphyses,yes,yes,yes,yes,yes,yes,no
HP:0010650,Hypoplasia of the premaxilla,HP:0430029,Hyperplasia of the premaxilla,yes,yes,yes,yes,yes,yes,no
HP:0010669,Hypoplasia of the zygomatic bone,HP:0012370,Prominence of the zygomatic bone,yes,yes,no,yes,yes,yes,yes
HP:0010763,Low insertion of columella,HP:0012807,High insertion of columella,yes,yes,yes,yes,yes,yes,no
HP:0010779,Large pelvis bone,HP:0008839,Hypoplastic pelvis,yes,no,yes,yes,yes,yes,yes
HP:0010809,Broad uvula,HP:0010811,Narrow uvula,yes,yes,yes,yes,yes,yes,no
HP:0010810,Long uvula,HP:0010812,Short uvula,yes,yes,yes,yes,yes,yes,no
HP:0010837,Decreased circulating ceruloplasmin concentration,HP:0033145,Increased circulating ceruloplasmin concentration,yes,yes,yes,yes,yes,yes,no
HP:0010911,Hyperleucinemia,HP:0500143,Hypoleucinemia,yes,yes,yes,yes,yes,yes,no
HP:0010913,Hyperisoleucinemia,HP:0500144,Hypoisoleucinemia,yes,yes,yes,yes,yes,yes,no
HP:0010976,B lymphocytopenia,HP:0005404,Increased B cell count,yes,no,yes,yes,yes,yes,no
HP:0011009,Acute,HP:0011010,Chronic,no,yes,no,yes,yes,yes,yes
HP:0011037,Decreased urine output,HP:0000103,Polyuria,yes,no,no,yes,yes,yes,no
HP:0011173,Focal behavior arrest seizure,HP:0011174,Focal hyperkinetic seizure,no,no,yes,no,no,yes,yes
HP:0011238,Prominent inferior crus of antihelix,HP:0011239,Underdeveloped inferior crus of antihelix,yes,yes,yes,yes,yes,yes,no
HP:0011246,Underdeveloped superior crus of antihelix,HP:0011247,Prominent superior crus of antihelix,yes,yes,yes,yes,yes,yes,no
HP:0011284,Short-segment aganglionic megacolon,HP:0011285,Long-segment aganglionic megacolon,no,yes,no,yes,no,yes,yes
HP:0011340,Incomplete cleft of the upper lip,HP:5201009,Complete cleft of the upper lip,no,yes,no,yes,no,yes,no
HP:0011433,High maternal circulating chorionic gonadotropin concentration,HP:0011434,Low maternal circulating chorionic gonadotropin concentration,yes,yes,yes,yes,yes,yes,no
HP:0011775,Thyroid macrofollicular adenoma,HP:0011776,Thyroid microfollicular adenoma,no,no,no,yes,yes,yes,yes
HP:0011800,Midface retrusion,HP:0012371,Hyperplasia of midface,yes,no,no,yes,no,yes,yes
HP:0011935,Decreased urinary urate,HP:0003149,Hyperuricosuria,no,no,no,yes,yes,yes,yes
HP:0011998,Postprandial hyperglycemia,HP:0012051,Reactive hypoglycemia,yes,yes,yes,no,yes,yes,yes
HP:0012053,Decreased circulating calcifediol concentration,HP:0031414,High serum calcifediol,yes,no,no,yes,yes,yes,yes
HP:0012107,Increased fibular diameter,HP:0031107,Decreased fibular diameter,yes,yes,yes,yes,yes,yes,no
HP:0012213,Decreased glomerular filtration rate,HP:0012214,Increased glomerular filtration rate,yes,yes,yes,yes,yes,yes,no
HP:0012238,Increased circulating chylomicron concentration,HP:0031242,Decreased circulating chylomicron concentration,yes,yes,yes,yes,yes,yes,no
HP:0012270,Decreased muscle glycogen content,HP:0009051,Increased muscle glycogen content,yes,yes,yes,yes,yes,yes,no
HP:0012311,Monocytosis,HP:0012312,Monocytopenia,yes,yes,yes,yes,yes,yes,no
HP:0012340,Decreased resting energy expenditure,HP:0012339,Increased resting energy expenditure,yes,yes,yes,yes,yes,yes,no
HP:0012341,Microprolactinoma,HP:0012342,Macroprolactinoma,yes,no,no,no,yes,yes,yes
HP:0012353,Decreased fucosylation of N-linked protein glycosylation,HP:0012354,Increased fucosylation of N-linked protein glycosylation,yes,yes,yes,yes,yes,yes,no
HP:0012356,Decreased mannosylation of N-linked protein glycosylation,HP:0012357,Increased mannosylation of N-linked protein glycosylation,yes,yes,yes,yes,yes,yes,no
HP:0012403,Decreased urine alpha-ketoglutarate concentration,HP:0012402,Increased urine alpha-ketoglutarate concentration,yes,yes,yes,yes,yes,yes,no
HP:0012416,Hypercapnia,HP:0012417,Hypocapnia,yes,yes,yes,yes,yes,yes,no
HP:0012505,Enlarged pituitary gland,HP:0012506,Small pituitary gland,yes,yes,yes,yes,yes,yes,no
HP:0012685,Decreased pineal volume,HP:0012686,Increased pineal volume,yes,yes,yes,yes,yes,yes,no
HP:0012691,Focal T2 hypointense thalamic lesion,HP:0012692,Focal T2 hyperintense thalamic lesion,yes,yes,yes,yes,yes,yes,no
HP:0012755,Enlarged brainstem,HP:0002365,Hypoplasia of the brainstem,yes,no,yes,yes,yes,yes,yes
HP:0012773,Reduced upper to lower segment ratio,HP:0012774,Increased upper to lower segment ratio,yes,yes,yes,yes,yes,yes,no
HP:0012801,Narrow jaw,HP:0012802,Broad jaw,yes,yes,yes,yes,yes,yes,no
HP:0012809,Narrow nasal base,HP:0012810,Wide nasal base,yes,yes,yes,yes,yes,yes,no
HP:0012858,Decreased scrotal rugation,HP:0012857,Increased scrotal rugation,yes,yes,yes,yes,yes,yes,no
HP:0020060,Decreased red blood cell count,HP:0020059,Increased red blood cell count,yes,yes,yes,yes,yes,yes,no
HP:0020112,Increased proportion of CD4+CD25+ regulatory T cells,HP:0020113,Decreased proportion of CD4+CD25+ regulatory T cells,yes,yes,yes,yes,yes,yes,no
HP:0020170,Increased blood drug concentration,HP:0020171,Decreased blood drug concentration,yes,yes,yes,yes,yes,yes,no
HP:0020184,Decreased circulating A-type natriuretic peptide concentration,HP:0020183,Increased circulating A-type natriuretic peptide concentration,yes,yes,yes,yes,yes,yes,no
HP:0020199,Decreased circulating 18-hydroxycortisone level,HP:0020200,Increased circulating 18-hydroxycortisone level,yes,yes,yes,yes,yes,yes,no
HP:0020285,Decreased lymph node lymphocyte cytoplasm,HP:0020286,Increased lymph node lymphocyte cytoplasm,yes,yes,yes,yes,yes,yes,no
HP:0020292,Decreased lymph-node cellular CD20 expression,HP:0020291,Increased lymph-node cellular CD20 expression,yes,yes,yes,yes,yes,yes,no
HP:0025077,Decreased QRS voltage,HP:0025075,Increased QRS voltage,yes,yes,yes,yes,yes,yes,no
HP:0025137,Decreased serum estriol,HP:0025136,Increased serum estriol,yes,yes,yes,yes,yes,yes,no
HP:0025250,Closed comedo,HP:0025251,Open comedo,yes,no,yes,no,no,yes,no
HP:0025346,Increased circulating beta-2-microglobulin level,HP:0025347,Decreased circulating beta-2-microglobulin level,yes,yes,yes,yes,yes,yes,no
HP:0025434,Reduced circulating CH50 activity,HP:0031905,Increased total hemolytic complement activity,yes,no,yes,no,yes,yes,yes
HP:0025435,Increased circulating lactate dehydrogenase concentration,HP:0045041,Reduced circulating lactate dehydrogenase concentration,yes,yes,yes,yes,yes,yes,no
HP:0025437,Macrozoospermia,HP:0032561,Microcephalic sperm head,no,no,no,no,yes,yes,yes
HP:0025585,Hyperphoria,HP:0031725,Hypophoria,yes,yes,yes,yes,yes,yes,no
HP:0025624,Reduced proportion of CD4+ effector memory T cells,HP:0410394,"Increased proportion of effector memory CD4-positive, alpha-beta T cells",yes,no,yes,yes,yes,yes,yes
HP:0025648,Steroid-sensitive nephrotic syndrome with infrequent relapses,HP:0025649,Steroid-sensitive nephrotic syndrome with frequent relapses,no,yes,yes,yes,yes,yes,yes
HP:0025684,Decreased amyloid beta 42 peptide CSF concentration,HP:0025685,Increased amyloid beta 42 peptide CSF concentration,yes,yes,yes,yes,yes,yes,no
HP:0025693,Pituitary macroadenoma,HP:0025694,Pituitary microadenoma,yes,no,no,yes,yes,yes,yes
HP:0025708,Early young adult onset,HP:0025710,Late young adult onset,yes,yes,no,yes,yes,yes,no
HP:0025767,Abnormal positive emotional state,HP:0031467,Abnormal negative emotional state,no,yes,yes,yes,yes,yes,yes
HP:0030050,Narcolepsy,HP:0100785,Insomnia,no,yes,yes,yes,no,yes,yes
HP:0030339,Decreased circulating gonadotropin concentration,HP:0000837,Increased circulating gonadotropin level,yes,no,yes,yes,yes,yes,yes
HP:0030344,Decreased circulating luteinizing hormone level,HP:0011969,Elevated circulating luteinizing hormone level,yes,yes,yes,yes,yes,yes,no
HP:0030349,Decreased circulating androgen concentration,HP:0030348,Increased circulating androgen concentration,yes,yes,yes,yes,yes,yes,no
HP:0030360,Large cell lung carcinoma,HP:0030357,Small cell lung carcinoma,no,no,no,yes,yes,yes,no
HP:0030378,Decreased proportion of immature B cells,HP:0030377,Increased proportion of immature B cells,yes,yes,yes,yes,yes,yes,no
HP:0030380,Decreased proportion of transitional B cells,HP:0030381,Increased proportion of transitional B cells,yes,yes,yes,yes,yes,yes,no
HP:0030384,Decreased proportion of marginal zone B cells,HP:0030385,Increased proportion of marginal zone B cells,yes,yes,yes,yes,yes,yes,no
HP:0030388,Decreased proportion of class-switched memory B cells,HP:0030387,Increased proportion of class-switched memory B cells,yes,yes,yes,yes,yes,yes,no
HP:0030607,Reduced OCT-measured macular thickness,HP:0030608,Increased OCT-measured macular thickness,yes,yes,yes,yes,yes,yes,no
HP:0030618,Increased OCT-measured foveal thickness,HP:0030619,Reduced OCT-measured foveal thickness,yes,yes,yes,yes,yes,yes,no
HP:0030631,Hyperautofluorescent macular lesion,HP:0030632,Hypoautofluorescent macular lesion,yes,yes,yes,yes,yes,yes,no
HP:0030633,Perifoveal ring of hyperautofluorescence surrounded by normal autofluorescence,HP:0030634,Perifoveal ring of hyperautofluorescence surrounded by abnormal autofluorescence,no,no,no,no,no,yes,yes
HP:0030638,Congenital stationary night blindness with normal fundus,HP:0030639,Congenital stationary night blindness with abnormal fundus,no,no,no,no,no,no,yes
HP:0030640,Complete congenital stationary night blindness,HP:0030641,Incomplete congenital stationary night blindness,no,no,yes,no,no,no,yes
HP:0030689,Decreased glucagon level,HP:0030688,Increased glucagon level,yes,yes,yes,yes,yes,yes,no
HP:0030783,Increased circulating interleukin 6 concentration,HP:0430142,Reduced circulating interleukin 6 concentration,yes,yes,yes,yes,yes,yes,no
HP:0030795,Reduced C-peptide level,HP:0030796,Increased C-peptide level,yes,yes,yes,yes,yes,yes,no
