hpo_id1,hpo_term1,hpo_id2,hpo_term2,strict,inverse_verified_by_llm
HP:0003354,Hyperthreoninemia,HP:0500213,Decreased CSF threonine concentration,t,yes
HP:0003358,Elevated intracellular cystine,HP:0500152,Hypocystinemia,t,yes
HP:0003359,Decreased urinary sulfate,HP:0012613,Increased urinary sulfate,t,yes
HP:0003361,Tryptophanuria,HP:0500135,Hypotryptophanemia,t,yes
HP:0003362,Increased VLDL cholesterol concentration,HP:0031243,Decreased VLDL cholesterol concentration,t,yes
HP:0003375,Narrow greater sciatic notch,HP:0008798,Widened greater sciatic notch,t,yes
HP:0003429,CNS hypomyelination,HP:0012754,CNS hypermyelination,t,yes
HP:0003429,CNS hypomyelination,HP:0030173,Peripheral hypermyelination,t,no
HP:0003452,Increased circulating iron concentration,HP:0040303,Decreased circulating iron concentration,t,yes
HP:0003532,Ornithinuria,HP:0500163,Hypoornithinemia,t,no
HP:0003538,Increased iduronate sulfatase level,HP:0034203,Decreased iduronate sulfatase level,t,yes
HP:0003572,Low plasma citrulline,HP:0011966,Elevated plasma citrulline,t,yes
HP:0003572,Low plasma citrulline,HP:0500246,Increased CSF citrulline concentration,t,no
HP:0003643,Sulfite oxidase deficiency,HP:0010639,Elevated alkaline phosphatase of bone origin,t,no
HP:0003643,Sulfite oxidase deficiency,HP:0010680,Elevated alkaline phosphatase of renal origin,t,no
HP:0003646,Bicarbonaturia,HP:0045011,Decreased urine bicarbonate concentration,t,yes
HP:0003658,Hypomethioninemia,HP:0500210,Increased CSF methionine concentration,t,yes
HP:0003758,Reduced subcutaneous adipose tissue,HP:0009003,Increased subcutaneous truncal adipose tissue,t,yes
HP:0003844,Small epiphyses of the upper limbs,HP:0010116,Enlarged epiphyses of the hallux,t,no
HP:0003844,Small epiphyses of the upper limbs,HP:0010130,Enlarged epiphysis of the proximal phalanx of the hallux,t,no
HP:0003844,Small epiphyses of the upper limbs,HP:0010141,Enlarged epiphysis of the distal phalanx of the hallux,t,no
HP:0003844,Small epiphyses of the upper limbs,HP:0010165,Enlarged epiphyses of the toes,t,no
HP:0003844,Small epiphyses of the upper limbs,HP:0010580,Enlarged epiphyses,t,yes
HP:0003844,Small epiphyses of the upper limbs,HP:0100047,Enlarged epiphyses of the 2nd toe,t,no
HP:0003844,Small epiphyses of the upper limbs,HP:0100058,Enlarged epiphyses of the 3rd toe,t,no
HP:0003844,Small epiphyses of the upper limbs,HP:0100069,Enlarged epiphyses of the 4th toe,t,no
HP:0003844,Small epiphyses of the upper limbs,HP:0100080,Enlarged epiphyses of the 5th toe,t,no
HP:0003844,Small epiphyses of the upper limbs,HP:0100103,Enlarged epiphysis of the distal phalanx of the 2nd toe,t,no
HP:0003844,Small epiphyses of the upper limbs,HP:0100114,Enlarged epiphysis of the middle phalanx of the 2nd toe,t,no
HP:0003844,Small epiphyses of the upper limbs,HP:0100125,Enlarged epiphysis of the proximal phalanx of the 2nd toe,t,no
HP:0003844,Small epiphyses of the upper limbs,HP:0100138,Enlarged epiphysis of the distal phalanx of the 3rd toe,t,no
HP:0003844,Small epiphyses of the upper limbs,HP:0100149,Enlarged epiphysis of the middle phalanx of the 3rd toe,t,no
HP:0003844,Small epiphyses of the upper limbs,HP:0100160,Enlarged epiphysis of the proximal phalanx of the 3rd toe,t,no
HP:0003844,Small epiphyses of the upper limbs,HP:0100172,Enlarged epiphysis of the distal phalanx of the 4th toe,t,no
HP:0003844,Small epiphyses of the upper limbs,HP:0100183,Enlarged epiphysis of the middle phalanx of the 4th toe,t,no
HP:0003844,Small epiphyses of the upper limbs,HP:0100194,Enlarged epiphysis of the proximal phalanx of the 4th toe,t,no
HP:0003844,Small epiphyses of the upper limbs,HP:0100205,Enlarged epiphysis of the distal phalanx of the 5th toe,t,no
HP:0003844,Small epiphyses of the upper limbs,HP:0100216,Enlarged epiphysis of the middle phalanx of the 5th toe,t,no
HP:0003844,Small epiphyses of the upper limbs,HP:0100227,Enlarged epiphysis of the proximal phalanx of the 5th toe,t,no
HP:0003898,Large humeral epiphyses,HP:0003900,Small humeral epiphyses,t,yes
HP:0004005,Large radial epiphyses,HP:0004010,Small radial epiphyses,t,yes
HP:0004279,Short palm,HP:0011302,Long palm,t,yes
HP:0004313,Decreased circulating antibody concentration,HP:0010702,Increased circulating antibody concentration,t,yes
HP:0004324,Increased body weight,HP:0004325,Decreased body weight,t,yes
HP:0004324,Increased body weight,HP:0004326,Cachexia,t,yes
HP:0004330,Increased skull ossification,HP:0004331,Decreased skull ossification,t,yes
HP:0004349,Reduced bone mineral density,HP:0005789,Generalized osteosclerosis,t,yes
HP:0004349,Reduced bone mineral density,HP:0011001,Increased bone mineral density,t,yes
HP:0004349,Reduced bone mineral density,HP:0011002,Osteopetrosis,t,yes
HP:0004368,Increased circulating purine concentration,HP:0004369,Decreased circulating purine concentration,t,yes
HP:0004586,Biconcave vertebral bodies,HP:0004625,Biconvex vertebral bodies,t,yes
HP:0004852,Reduced leukocyte alkaline phosphatase,HP:0008318,Elevated leukocyte alkaline phosphatase,t,yes
HP:0004852,Reduced leukocyte alkaline phosphatase,HP:0010638,Elevated alkaline phosphatase of hepatic origin,t,no
HP:0004923,Hyperphenylalaninemia,HP:0500141,Hypophenylalaninemia,t,yes
HP:0004923,Hyperphenylalaninemia,HP:0500224,Decreased CSF phenylalanine concentration,t,yes
HP:0004997,Multicentric ossification of proximal humeral epiphyses,HP:0006611,Decreased number of sternal ossification centers,t,no
HP:0005019,Diaphyseal undertubulation,HP:0006470,Thin long bone diaphyses,t,no
HP:0005403,T lymphocytopenia,HP:0100828,Increased T cell count,t,yes
HP:0005404,Increased B cell count,HP:0010976,B lymphocytopenia,t,yes
HP:0005513,Increased megakaryocyte count,HP:0005548,Megakaryocytopenia,t,yes
HP:0005537,Decreased mean platelet volume,HP:0011877,Increased mean platelet volume,t,yes
HP:0005789,Generalized osteosclerosis,HP:0006462,Generalized bone demineralization,t,yes
HP:0005819,Short middle phalanx of finger,HP:0012298,Long middle phalanx of finger,t,yes
HP:0005961,Hypoargininemia,HP:0500153,Hyperargininemia,t,yes
HP:0005961,Hypoargininemia,HP:0500203,Increased CSF arginine concentration,t,yes
HP:0005990,Thyroid hypoplasia,HP:0008249,Thyroid hyperplasia,t,yes
HP:0005995,Decreased adipose tissue around neck,HP:0008985,Increased intramuscular fat,t,no
HP:0005995,Decreased adipose tissue around neck,HP:0008993,Increased intraabdominal fat,t,no
HP:0005995,Decreased adipose tissue around neck,HP:0009126,Increased adipose tissue,t,yes
HP:0006040,Long second metacarpal,HP:0010038,Short 2nd metacarpal,t,yes
HP:0006067,Multiple carpal ossification centers,HP:0006611,Decreased number of sternal ossification centers,t,no
HP:0006127,Long proximal phalanx of finger,HP:0010241,Short proximal phalanx of finger,t,yes
HP:0006254,Elevated circulating alpha-fetoprotein concentration,HP:0045057,Decreased circulating alpha-fetoprotein concentration,t,yes
HP:0006266,Small placenta,HP:0006267,Large placenta,t,yes
HP:0006347,Microdontia of primary teeth,HP:0011093,Molarization of premolar,t,no
HP:0006429,Broad femoral neck,HP:0008819,Narrow femoral neck,t,yes
HP:0006450,Multicentric ossification of proximal femoral epiphyses,HP:0006611,Decreased number of sternal ossification centers,t,no
HP:0006462,Generalized bone demineralization,HP:0011001,Increased bone mineral density,t,yes
HP:0006462,Generalized bone demineralization,HP:0011002,Osteopetrosis,t,yes
HP:0006561,Lipid accumulation in hepatocytes,HP:0045014,Hypolipidemia,t,no
HP:0006568,Increased hepatic glycogen content,HP:0012270,Decreased muscle glycogen content,t,no
HP:0006610,Wide intermamillary distance,HP:0040158,Short intermamillary distance,t,yes
HP:0006611,Decreased number of sternal ossification centers,HP:0008835,Multicentric femoral head ossification,t,no
HP:0006611,Decreased number of sternal ossification centers,HP:0009193,Metacarpal pseudoepiphysis,t,no
HP:0007048,Large basal ganglia,HP:0012697,Small basal ganglia,t,yes
HP:0007083,Hyperactive patellar reflex,HP:0011808,Decreased patellar reflex,t,yes
HP:0007182,Peripheral hypomyelination,HP:0012754,CNS hypermyelination,t,yes
HP:0007182,Peripheral hypomyelination,HP:0030173,Peripheral hypermyelination,t,yes
HP:0007350,Upper limb hyperreflexia,HP:0012391,Hyporeflexia of upper limbs,t,yes
HP:0007440,Generalized hyperpigmentation,HP:0007513,Generalized hypopigmentation,t,yes
HP:0007840,Long upper eyelashes,HP:0040054,Short upper eyelashes,t,yes
HP:0007894,Hypopigmentation of the fundus,HP:0011512,Hyperpigmentation of the fundus,t,yes
HP:0007988,Macular hypopigmentation,HP:0011509,Macular hyperpigmentation,t,yes
HP:0008001,Foveal hyperpigmentation,HP:0012643,Foveal hypopigmentation,t,yes
HP:0008163,Decreased circulating cortisol level,HP:0012030,Increased urinary cortisol level,t,no
HP:0008214,Decreased serum estradiol,HP:0025134,Increased serum estradiol,t,yes
HP:0008233,Decreased circulating progesterone,HP:0031216,Increased circulating progesterone,t,yes
HP:0008318,Elevated leukocyte alkaline phosphatase,HP:0010684,Low alkaline phosphatase of bone origin,t,no
HP:0008318,Elevated leukocyte alkaline phosphatase,HP:0010685,Low alkaline phosphatase of renal origin,t,no
HP:0008318,Elevated leukocyte alkaline phosphatase,HP:0012380,Reduced tissue carnitine O-palmitoyltransferase 2 activity,t,no
HP:0008318,Elevated leukocyte alkaline phosphatase,HP:0100950,Decreased 3-hydroxyacyl-CoA dehydrogenase level,t,no
HP:0008358,Hyperprolinemia,HP:0500139,Hypoprolinemia,t,yes
HP:0008383,Slow-growing nails,HP:0030806,Fast-growing nails,t,yes
HP:0008401,Onychogryphosis of toenails,HP:0012746,Thin toenail,t,yes
HP:0008687,Hypoplasia of the prostate,HP:0008711,Benign prostatic hyperplasia,t,yes
HP:0008972,Decreased activity of mitochondrial respiratory chain,HP:0040015,Increased activity of mitochondrial respiratory chain,t,yes
HP:0009051,Increased muscle glycogen content,HP:0012270,Decreased muscle glycogen content,t,yes
HP:0009058,Increased muscle lipid content,HP:0045014,Hypolipidemia,t,no
HP:0009147,Enlarged epiphysis of the distal phalanx of the 5th finger,HP:0009148,Small epiphysis of the distal phalanx of the 5th finger,t,yes
HP:0009147,Enlarged epiphysis of the distal phalanx of the 5th finger,HP:0009159,Small epiphysis of the proximal phalanx of the 5th finger,t,no
HP:0009147,Enlarged epiphysis of the distal phalanx of the 5th finger,HP:0009211,Small epiphysis of the middle phalanx of the 5th finger,t,no
HP:0009147,Enlarged epiphysis of the distal phalanx of the 5th finger,HP:0009222,Small epiphysis of the middle phalanx of the 4th finger,t,no
HP:0009147,Enlarged epiphysis of the distal phalanx of the 5th finger,HP:0009258,Small epiphysis of the distal phalanx of the 4th finger,t,no
HP:0009147,Enlarged epiphysis of the distal phalanx of the 5th finger,HP:0009269,Small epiphysis of the proximal phalanx of the 4th finger,t,no
HP:0009147,Enlarged epiphysis of the distal phalanx of the 5th finger,HP:0009329,Small epiphysis of the middle phalanx of the 3rd finger,t,no
HP:0009147,Enlarged epiphysis of the distal phalanx of the 5th finger,HP:0009343,Small epiphysis of the distal phalanx of the 3rd finger,t,no
HP:0009147,Enlarged epiphysis of the distal phalanx of the 5th finger,HP:0009354,Small epiphysis of the proximal phalanx of the 3rd finger,t,no
HP:0009147,Enlarged epiphysis of the distal phalanx of the 5th finger,HP:0009390,Small epiphyses of the 5th finger,t,no
HP:0009147,Enlarged epiphysis of the distal phalanx of the 5th finger,HP:0009401,Small epiphyses of the 4th finger,t,no
